New Terminal Output:
=== VENDORS DATA ===
Headers: ('id', 'name', 'iban')
Row 44: ('V043', 'Vendor 43', 'IBAN000000043')
Row 45: ('V044', 'Vendor 44', 'IBAN000000044')
Row 46: ('V045', 'Vendor 45', 'IBAN000000045')
Row 47: ('V046', 'Vendor 46', 'IBAN000000046')
Row 48: ('V047', 'Vendor 47', 'IBAN000000047')
Row 49: ('V048', 'Vendor 48', 'IBAN000000048')
Row 50: ('V049', 'Vendor 49', 'IBAN000000049')
Row 51: ('V050', 'Vendor 50', 'IBAN000000050')
Row 52: ('V051', 'Vendor 51', 'IBAN000000051')
Row 53: ('V052', 'Vendor 52', 'IBAN000000052')
Row 54: ('V053', 'Vendor 53', 'IBAN000000053')
Row 55: ('V054', 'Vendor 54', 'IBAN000000054')
Row 56: ('V055', 'Vendor 55', 'IBAN000000055')
Row 57: ('V056', 'Vendor 56', 'IBAN000000056')
Row 58: ('V057', 'Vendor 57', 'IBAN000000057')
Row 59: ('V058', 'Vendor 58', 'IBAN000000058')
Row 60: ('V059', 'Vendor 59', 'IBAN000000059')
Row 61: ('V060', 'Vendor 60', 'IBAN000000060')
Row 62: ('V061', 'Vendor 61', 'IBAN000000061')
Row 63: ('V062', 'Vendor 62', 'IBAN000000062')
Row 64: ('V063', 'Vendor 63', 'IBAN000000063')
Row 65: ('V064', 'Vendor 64', 'IBAN000000064')
Row 66: ('V065', 'Vendor 65', 'IBAN000000065')
Row 67: ('V066', 'Vendor 66', 'IBAN000000066')
Row 68: ('V067', 'Vendor 67', 'IBAN000000067')
Row 69: ('V068', 'Vendor 68', 'IBAN000000068')
Row 70: ('V069', 'Vendor 69', 'IBAN000000069')
Row 71: ('V070', 'Vendor 70', 'IBAN000000070')
Row 72: ('V071', 'Vendor 71', 'IBAN000000071')
Row 73: ('V072', 'Vendor 72', 'IBAN000000072')
Row 74: ('V073', 'Vendor 73', 'IBAN000000073')
Row 75: ('V074', 'Vendor 74', 'IBAN000000074')
Row 76: ('V075', 'Vendor 75', 'IBAN000000075')
Row 77: ('V076', 'Vendor 76', 'IBAN000000076')
Row 78: ('V077', 'Vendor 77', 'IBAN000000077')
Row 79: ('V078', 'Vendor 78', 'IBAN000000078')
Row 80: ('V079', 'Vendor 79', 'IBAN000000079')
Row 81: ('V080', 'Vendor 80', 'IBAN000000080')
Row 82: ('V081', 'Vendor 81', 'IBAN000000081')
Row 83: ('V082', 'Vendor 82', 'IBAN000000082')
Row 84: ('V083', 'Vendor 83', 'IBAN000000083')
Row 85: ('V084', 'Vendor 84', 'IBAN000000084')
Row 86: ('V085', 'Vendor 85', 'IBAN000000085')
Row 87: ('V086', 'Vendor 86', 'IBAN000000086')
Row 88: ('V087', 'Vendor 87', 'IBAN000000087')
Row 89: ('V088', 'Vendor 88', 'IBAN000000088')
Row 90: ('V089', 'Vendor 89', 'IBAN000000089')
Row 91: ('V090', 'Vendor 90', 'IBAN000000090')
Row 92: ('V091', 'Vendor 91', 'IBAN000000091')
Row 93: ('V092', 'Vendor 92', 'IBAN000000092')
Row 94: ('V093', 'Vendor 93', 'IBAN000000093')
Row 95: ('V094', 'Vendor 94', 'IBAN000000094')
Row 96: ('V095', 'Vendor 95', 'IBAN000000095')
Row 97: ('V096', 'Vendor 96', 'IBAN000000096')
Row 98: ('V097', 'Vendor 97', 'IBAN000000097')
Row 99: ('V098', 'Vendor 98', 'IBAN000000098')
Row 100: ('V099', 'Vendor 99', 'IBAN000000099')
Row 101: ('V100', 'Vendor 100', 'IBAN000000100')
Row 102: ('V101', 'Vendor 101', 'IBAN000000101')
Row 103: ('V102', 'Vendor 102', 'IBAN000000102')
Row 104: ('V103', 'Vendor 103', 'IBAN000000103')
Row 105: ('V104', 'Vendor 104', 'IBAN000000104')
Row 106: ('V105', 'Vendor 105', 'IBAN000000105')
Row 107: ('V106', 'Vendor 106', 'IBAN000000106')
Row 108: ('V107', 'Vendor 107', 'IBAN000000107')
Row 109: ('V108', 'Vendor 108', 'IBAN000000108')
Row 110: ('V109', 'Vendor 109', 'IBAN000000109')
Row 111: ('V110', 'Vendor 110', 'IBAN000000110')
Row 112: ('V111', 'Vendor 111', 'IBAN000000111')
Row 113: ('V112', 'Vendor 112', 'IBAN000000112')
Row 114: ('V113', 'Vendor 113', 'IBAN000000113')
Row 115: ('V114', 'Vendor 114', 'IBAN000000114')
Row 116: ('V115', 'Vendor 115', 'IBAN000000115')
Row 117: ('V116', 'Vendor 116', 'IBAN000000116')
Row 118: ('V117', 'Vendor 117', 'IBAN000000117')
Row 119: ('V118', 'Vendor 118', 'IBAN000000118')
Row 120: ('V119', 'Vendor 119', 'IBAN000000119')
Row 121: ('V120', 'Vendor 120', 'IBAN000000120')
Row 122: ('V121', 'Vendor 121', 'IBAN000000121')
Row 123: ('V122', 'Vendor 122', 'IBAN000000122')
Row 124: ('V123', 'Vendor 123', 'IBAN000000123')
Row 125: ('V124', 'Vendor 124', 'IBAN000000124')
Row 126: ('V125', 'Vendor 125', 'IBAN000000125')
Row 127: ('V126', 'Vendor 126', 'IBAN000000126')
Row 128: ('V127', 'Vendor 127', 'IBAN000000127')
Row 129: ('V128', 'Vendor 128', 'IBAN000000128')
Row 130: ('V129', 'Vendor 129', 'IBAN000000129')
Row 131: ('V130', 'Vendor 130', 'IBAN000000130')
Row 132: ('V131', 'Vendor 131', 'IBAN000000131')
Row 133: ('V132', 'Vendor 132', 'IBAN000000132')
Row 134: ('V133', 'Vendor 133', 'IBAN000000133')
Row 135: ('V134', 'Vendor 134', 'IBAN000000134')
Row 136: ('V135', 'Vendor 135', 'IBAN000000135')
Row 137: ('V136', 'Vendor 136', 'IBAN000000136')
Row 138: ('V137', 'Vendor 137', 'IBAN000000137')
Row 139: ('V138', 'Vendor 138', 'IBAN000000138')
Row 140: ('V139', 'Vendor 139', 'IBAN000000139')
Row 141: ('V140', 'Vendor 140', 'IBAN000000140')
Row 142: ('V141', 'Vendor 141', 'IBAN000000141')
Row 143: ('V142', 'Vendor 142', 'IBAN000000142')
Row 144: ('V143', 'Vendor 143', 'IBAN000000143')
Row 145: ('V144', 'Vendor 144', 'IBAN000000144')
Row 146: ('V145', 'Vendor 145', 'IBAN000000145')
Row 147: ('V146', 'Vendor 146', 'IBAN000000146')
Row 148: ('V147', 'Vendor 147', 'IBAN000000147')
Row 149: ('V148', 'Vendor 148', 'IBAN000000148')
Row 150: ('V149', 'Vendor 149', 'IBAN000000149')
Row 151: ('V150', 'Vendor 150', 'IBAN000000150')
Row 152: ('V151', 'Vendor 151', 'IBAN000000151')
Row 153: ('V152', 'Vendor 152', 'IBAN000000152')
Row 154: ('V153', 'Vendor 153', 'IBAN000000153')
Row 155: ('V154', 'Vendor 154', 'IBAN000000154')
Row 156: ('V155', 'Vendor 155', 'IBAN000000155')
Row 157: ('V156', 'Vendor 156', 'IBAN000000156')
Row 158: ('V157', 'Vendor 157', 'IBAN000000157')
Row 159: ('V158', 'Vendor 158', 'IBAN000000158')
Row 160: ('V159', 'Vendor 159', 'IBAN000000159')
Row 161: ('V160', 'Vendor 160', 'IBAN000000160')
Row 162: ('V161', 'Vendor 161', 'IBAN000000161')
Row 163: ('V162', 'Vendor 162', 'IBAN000000162')
Row 164: ('V163', 'Vendor 163', 'IBAN000000163')
Row 165: ('V164', 'Vendor 164', 'IBAN000000164')
Row 166: ('V165', 'Vendor 165', 'IBAN000000165')
Row 167: ('V166', 'Vendor 166', 'IBAN000000166')
Row 168: ('V167', 'Vendor 167', 'IBAN000000167')
Row 169: ('V168', 'Vendor 168', 'IBAN000000168')
Row 170: ('V169', 'Vendor 169', 'IBAN000000169')
Row 171: ('V170', 'Vendor 170', 'IBAN000000170')
Row 172: ('V171', 'Vendor 171', 'IBAN000000171')
Row 173: ('V172', 'Vendor 172', 'IBAN000000172')
Row 174: ('V173', 'Vendor 173', 'IBAN000000173')
Row 175: ('V174', 'Vendor 174', 'IBAN000000174')
Row 176: ('V175', 'Vendor 175', 'IBAN000000175')
Row 177: ('V176', 'Vendor 176', 'IBAN000000176')
Row 178: ('V177', 'Vendor 177', 'IBAN000000177')
Row 179: ('V178', 'Vendor 178', 'IBAN000000178')
Row 180: ('V179', 'Vendor 179', 'IBAN000000179')
Row 181: ('V180', 'Vendor 180', 'IBAN000000180')
Row 182: ('V181', 'Vendor 181', 'IBAN000000181')
Row 183: ('V182', 'Vendor 182', 'IBAN000000182')
Row 184: ('V183', 'Vendor 183', 'IBAN000000183')
Row 185: ('V184', 'Vendor 184', 'IBAN000000184')
Row 186: ('V185', 'Vendor 185', 'IBAN000000185')
Row 187: ('V186', 'Vendor 186', 'IBAN000000186')
Row 188: ('V187', 'Vendor 187', 'IBAN000000187')
Row 189: ('V188', 'Vendor 188', 'IBAN000000188')
Row 190: ('V189', 'Vendor 189', 'IBAN000000189')
Row 191: ('V190', 'Vendor 190', 'IBAN000000190')
Row 192: ('V191', 'Vendor 191', 'IBAN000000191')
Row 193: ('V192', 'Vendor 192', 'IBAN000000192')
Row 194: ('V193', 'Vendor 193', 'IBAN000000193')
Row 195: ('V194', 'Vendor 194', 'IBAN000000194')
Row 196: ('V195', 'Vendor 195', 'IBAN000000195')
Row 197: ('V196', 'Vendor 196', 'IBAN000000196')
Row 198: ('V197', 'Vendor 197', 'IBAN000000197')
Row 199: ('V198', 'Vendor 198', 'IBAN000000198')
Row 200: ('V199', 'Vendor 199', 'IBAN000000199')
Row 201: ('V200', 'Vendor 200', 'IBAN000000200')
Row 202: ('V201', 'Vendor 201', 'IBAN000000201')
Row 203: ('V202', 'Vendor 202', 'IBAN000000202')
Row 204: ('V203', 'Vendor 203', 'IBAN000000203')
Row 205: ('V204', 'Vendor 204', 'IBAN000000204')
Row 206: ('V205', 'Vendor 205', 'IBAN000000205')
Row 207: ('V206', 'Vendor 206', 'IBAN000000206')
Row 208: ('V207', 'Vendor 207', 'IBAN000000207')
Row 209: ('V208', 'Vendor 208', 'IBAN000000208')
Row 210: ('V209', 'Vendor 209', 'IBAN000000209')
Row 211: ('V210', 'Vendor 210', 'IBAN000000210')
Row 212: ('V211', 'Vendor 211', 'IBAN000000211')
Row 213: ('V212', 'Vendor 212', 'IBAN000000212')
Row 214: ('V213', 'Vendor 213', 'IBAN000000213')
Row 215: ('V214', 'Vendor 214', 'IBAN000000214')
Row 216: ('V215', 'Vendor 215', 'IBAN000000215')
Row 217: ('V216', 'Vendor 216', 'IBAN000000216')
Row 218: ('V217', 'Vendor 217', 'IBAN000000217')
Row 219: ('V218', 'Vendor 218', 'IBAN000000218')
Row 220: ('V219', 'Vendor 219', 'IBAN000000219')
Row 221: ('V220', 'Vendor 220', 'IBAN000000220')
Row 222: ('V221', 'Vendor 221', 'IBAN000000221')
Row 223: ('V222', 'Vendor 222', 'IBAN000000222')
Row 224: ('V223', 'Vendor 223', 'IBAN000000223')
Row 225: ('V224', 'Vendor 224', 'IBAN000000224')
Row 226: ('V225', 'Vendor 225', 'IBAN000000225')
Row 227: ('V226', 'Vendor 226', 'IBAN000000226')
Row 228: ('V227', 'Vendor 227', 'IBAN000000227')
Row 229: ('V228', 'Vendor 228', 'IBAN000000228')
Row 230: ('V229', 'Vendor 229', 'IBAN000000229')
Row 231: ('V230', 'Vendor 230', 'IBAN000000230')
Row 232: ('V231', 'Vendor 231', 'IBAN000000231')
Row 233: ('V232', 'Vendor 232', 'IBAN000000232')
Row 234: ('V233', 'Vendor 233', 'IBAN000000233')
Row 235: ('V234', 'Vendor 234', 'IBAN000000234')
Row 236: ('V235', 'Vendor 235', 'IBAN000000235')
Row 237: ('V236', 'Vendor 236', 'IBAN000000236')
Row 238: ('V237', 'Vendor 237', 'IBAN000000237')
Row 239: ('V238', 'Vendor 238', 'IBAN000000238')
Row 240: ('V239', 'Vendor 239', 'IBAN000000239')
Row 241: ('V240', 'Vendor 240', 'IBAN000000240')
Row 242: ('V241', 'Vendor 241', 'IBAN000000241')
Row 243: ('V242', 'Vendor 242', 'IBAN000000242')
Row 244: ('V243', 'Vendor 243', 'IBAN000000243')
Row 245: ('V244', 'Vendor 244', 'IBAN000000244')
Row 246: ('V245', 'Vendor 245', 'IBAN000000245')
Row 247: ('V246', 'Vendor 246', 'IBAN000000246')
Row 248: ('V247', 'Vendor 247', 'IBAN000000247')
Row 249: ('V248', 'Vendor 248', 'IBAN000000248')
Row 250: ('V249', 'Vendor 249', 'IBAN000000249')
Row 251: ('V250', 'Vendor 250', 'IBAN000000250')
Row 252: ('V251', 'Vendor 251', 'IBAN000000251')
Row 253: ('V252', 'Vendor 252', 'IBAN000000252')
Row 254: ('V253', 'Vendor 253', 'IBAN000000253')
Row 255: ('V254', 'Vendor 254', 'IBAN000000254')
Row 256: ('V255', 'Vendor 255', 'IBAN000000255')
Row 257: ('V256', 'Vendor 256', 'IBAN000000256')
Row 258: ('V257', 'Vendor 257', 'IBAN000000257')
Row 259: ('V258', 'Vendor 258', 'IBAN000000258')
Row 260: ('V259', 'Vendor 259', 'IBAN000000259')
Row 261: ('V260', 'Vendor 260', 'IBAN000000260')
Row 262: ('V261', 'Vendor 261', 'IBAN000000261')
Row 263: ('V262', 'Vendor 262', 'IBAN000000262')
Row 264: ('V263', 'Vendor 263', 'IBAN000000263')
Row 265: ('V264', 'Vendor 264', 'IBAN000000264')
Row 266: ('V265', 'Vendor 265', 'IBAN000000265')
Row 267: ('V266', 'Vendor 266', 'IBAN000000266')
Row 268: ('V267', 'Vendor 267', 'IBAN000000267')
Row 269: ('V268', 'Vendor 268', 'IBAN000000268')
Row 270: ('V269', 'Vendor 269', 'IBAN000000269')
Row 271: ('V270', 'Vendor 270', 'IBAN000000270')
Row 272: ('V271', 'Vendor 271', 'IBAN000000271')
Row 273: ('V272', 'Vendor 272', 'IBAN000000272')
Row 274: ('V273', 'Vendor 273', 'IBAN000000273')
Row 275: ('V274', 'Vendor 274', 'IBAN000000274')
Row 276: ('V275', 'Vendor 275', 'IBAN000000275')
Row 277: ('V276', 'Vendor 276', 'IBAN000000276')
Row 278: ('V277', 'Vendor 277', 'IBAN000000277')
Row 279: ('V278', 'Vendor 278', 'IBAN000000278')
Row 280: ('V279', 'Vendor 279', 'IBAN000000279')
Row 281: ('V280', 'Vendor 280', 'IBAN000000280')
Row 282: ('V281', 'Vendor 281', 'IBAN000000281')
Row 283: ('V282', 'Vendor 282', 'IBAN000000282')
Row 284: ('V283', 'Vendor 283', 'IBAN000000283')
Row 285: ('V284', 'Vendor 284', 'IBAN000000284')
Row 286: ('V285', 'Vendor 285', 'IBAN000000285')
Row 287: ('V286', 'Vendor 286', 'IBAN000000286')
Row 288: ('V287', 'Vendor 287', 'IBAN000000287')
Row 289: ('V288', 'Vendor 288', 'IBAN000000288')
Row 290: ('V289', 'Vendor 289', 'IBAN000000289')
Row 291: ('V290', 'Vendor 290', 'IBAN000000290')
Row 292: ('V291', 'Vendor 291', 'IBAN000000291')
Row 293: ('V292', 'Vendor 292', 'IBAN000000292')
Row 294: ('V293', 'Vendor 293', 'IBAN000000293')
Row 295: ('V294', 'Vendor 294', 'IBAN000000294')
Row 296: ('V295', 'Vendor 295', 'IBAN000000295')
Row 297: ('V296', 'Vendor 296', 'IBAN000000296')
Row 298: ('V297', 'Vendor 297', 'IBAN000000297')
Row 299: ('V298', 'Vendor 298', 'IBAN000000298')
Row 300: ('V299', 'Vendor 299', 'IBAN000000299')
Row 301: ('V300', 'Vendor 300', 'IBAN000000300')
Row 302: ('V301', 'Vendor 301', 'IBAN000000301')
Row 303: ('V302', 'Vendor 302', 'IBAN000000302')
Row 304: ('V303', 'Vendor 303', 'IBAN000000303')
Row 305: ('V304', 'Vendor 304', 'IBAN000000304')
Row 306: ('V305', 'Vendor 305', 'IBAN000000305')
Row 307: ('V306', 'Vendor 306', 'IBAN000000306')
Row 308: ('V307', 'Vendor 307', 'IBAN000000307')
Row 309: ('V308', 'Vendor 308', 'IBAN000000308')
Row 310: ('V309', 'Vendor 309', 'IBAN000000309')
Row 311: ('V310', 'Vendor 310', 'IBAN000000310')
Row 312: ('V311', 'Vendor 311', 'IBAN000000311')
Row 313: ('V312', 'Vendor 312', 'IBAN000000312')
Row 314: ('V313', 'Vendor 313', 'IBAN000000313')
Row 315: ('V314', 'Vendor 314', 'IBAN000000314')
Row 316: ('V315', 'Vendor 315', 'IBAN000000315')
Row 317: ('V316', 'Vendor 316', 'IBAN000000316')
Row 318: ('V317', 'Vendor 317', 'IBAN000000317')
Row 319: ('V318', 'Vendor 318', 'IBAN000000318')
Row 320: ('V319', 'Vendor 319', 'IBAN000000319')
Row 321: ('V320', 'Vendor 320', 'IBAN000000320')
Row 322: ('V321', 'Vendor 321', 'IBAN000000321')
Row 323: ('V322', 'Vendor 322', 'IBAN000000322')
Row 324: ('V323', 'Vendor 323', 'IBAN000000323')
Row 325: ('V324', 'Vendor 324', 'IBAN000000324')
Row 326: ('V325', 'Vendor 325', 'IBAN000000325')
Row 327: ('V326', 'Vendor 326', 'IBAN000000326')
Row 328: ('V327', 'Vendor 327', 'IBAN000000327')
Row 329: ('V328', 'Vendor 328', 'IBAN000000328')
Row 330: ('V329', 'Vendor 329', 'IBAN000000329')
Row 331: ('V330', 'Vendor 330', 'IBAN000000330')
Row 332: ('V331', 'Vendor 331', 'IBAN000000331')
Row 333: ('V332', 'Vendor 332', 'IBAN000000332')
Row 334: ('V333', 'Vendor 333', 'IBAN000000333')
Row 335: ('V334', 'Vendor 334', 'IBAN000000334')
Row 336: ('V335', 'Vendor 335', 'IBAN000000335')
Row 337: ('V336', 'Vendor 336', 'IBAN000000336')
Row 338: ('V337', 'Vendor 337', 'IBAN000000337')
Row 339: ('V338', 'Vendor 338', 'IBAN000000338')
Row 340: ('V339', 'Vendor 339', 'IBAN000000339')
Row 341: ('V340', 'Vendor 340', 'IBAN000000340')
Row 342: ('V341', 'Vendor 341', 'IBAN000000341')
Row 343: ('V342', 'Vendor 342', 'IBAN000000342')
Row 344: ('V343', 'Vendor 343', 'IBAN000000343')
Row 345: ('V344', 'Vendor 344', 'IBAN000000344')
Row 346: ('V345', 'Vendor 345', 'IBAN000000345')
Row 347: ('V346', 'Vendor 346', 'IBAN000000346')
Row 348: ('V347', 'Vendor 347', 'IBAN000000347')
Row 349: ('V348', 'Vendor 348', 'IBAN000000348')
Row 350: ('V349', 'Vendor 349', 'IBAN000000349')
Row 351: ('V350', 'Vendor 350', 'IBAN000000350')
Row 352: ('V351', 'Vendor 351', 'IBAN000000351')
Row 353: ('V352', 'Vendor 352', 'IBAN000000352')
Row 354: ('V353', 'Vendor 353', 'IBAN000000353')
Row 355: ('V354', 'Vendor 354', 'IBAN000000354')
Row 356: ('V355', 'Vendor 355', 'IBAN000000355')
Row 357: ('V356', 'Vendor 356', 'IBAN000000356')
Row 358: ('V357', 'Vendor 357', 'IBAN000000357')
Row 359: ('V358', 'Vendor 358', 'IBAN000000358')
Row 360: ('V359', 'Vendor 359', 'IBAN000000359')
Row 361: ('V360', 'Vendor 360', 'IBAN000000360')
Row 362: ('V361', 'Vendor 361', 'IBAN000000361')
Row 363: ('V362', 'Vendor 362', 'IBAN000000362')
Row 364: ('V363', 'Vendor 363', 'IBAN000000363')
Row 365: ('V364', 'Vendor 364', 'IBAN000000364')
Row 366: ('V365', 'Vendor 365', 'IBAN000000365')
Row 367: ('V366', 'Vendor 366', 'IBAN000000366')
Row 368: ('V367', 'Vendor 367', 'IBAN000000367')
Row 369: ('V368', 'Vendor 368', 'IBAN000000368')
Row 370: ('V369', 'Vendor 369', 'IBAN000000369')
Row 371: ('V370', 'Vendor 370', 'IBAN000000370')
Row 372: ('V371', 'Vendor 371', 'IBAN000000371')
Row 373: ('V372', 'Vendor 372', 'IBAN000000372')
Row 374: ('V373', 'Vendor 373', 'IBAN000000373')
Row 375: ('V374', 'Vendor 374', 'IBAN000000374')
Row 376: ('V375', 'Vendor 375', 'IBAN000000375')
Row 377: ('V376', 'Vendor 376', 'IBAN000000376')
Row 378: ('V377', 'Vendor 377', 'IBAN000000377')
Row 379: ('V378', 'Vendor 378', 'IBAN000000378')
Row 380: ('V379', 'Vendor 379', 'IBAN000000379')
Row 381: ('V380', 'Vendor 380', 'IBAN000000380')
Row 382: ('V381', 'Vendor 381', 'IBAN000000381')
Row 383: ('V382', 'Vendor 382', 'IBAN000000382')
Row 384: ('V383', 'Vendor 383', 'IBAN000000383')
Row 385: ('V384', 'Vendor 384', 'IBAN000000384')
Row 386: ('V385', 'Vendor 385', 'IBAN000000385')
Row 387: ('V386', 'Vendor 386', 'IBAN000000386')
Row 388: ('V387', 'Vendor 387', 'IBAN000000387')
Row 389: ('V388', 'Vendor 388', 'IBAN000000388')
Row 390: ('V389', 'Vendor 389', 'IBAN000000389')
Row 391: ('V390', 'Vendor 390', 'IBAN000000390')
Row 392: ('V391', 'Vendor 391', 'IBAN000000391')
Row 393: ('V392', 'Vendor 392', 'IBAN000000392')
Row 394: ('V393', 'Vendor 393', 'IBAN000000393')
Row 395: ('V394', 'Vendor 394', 'IBAN000000394')
Row 396: ('V395', 'Vendor 395', 'IBAN000000395')
Row 397: ('V396', 'Vendor 396', 'IBAN000000396')
Row 398: ('V397', 'Vendor 397', 'IBAN000000397')
Row 399: ('V398', 'Vendor 398', 'IBAN000000398')
Row 400: ('V399', 'Vendor 399', 'IBAN000000399')
Row 401: ('V400', 'Vendor 400', 'IBAN000000400')
Row 402: ('V401', 'Vendor 401', 'IBAN000000401')
Row 403: ('V402', 'Vendor 402', 'IBAN000000402')
Row 404: ('V403', 'Vendor 403', 'IBAN000000403')
Row 405: ('V404', 'Vendor 404', 'IBAN000000404')
Row 406: ('V405', 'Vendor 405', 'IBAN000000405')
Row 407: ('V406', 'Vendor 406', 'IBAN000000406')
Row 408: ('V407', 'Vendor 407', 'IBAN000000407')
Row 409: ('V408', 'Vendor 408', 'IBAN000000408')
Row 410: ('V409', 'Vendor 409', 'IBAN000000409')
Row 411: ('V410', 'Vendor 410', 'IBAN000000410')
Row 412: ('V411', 'Vendor 411', 'IBAN000000411')
Row 413: ('V412', 'Vendor 412', 'IBAN000000412')
Row 414: ('V413', 'Vendor 413', 'IBAN000000413')
Row 415: ('V414', 'Vendor 414', 'IBAN000000414')
Row 416: ('V415', 'Vendor 415', 'IBAN000000415')
Row 417: ('V416', 'Vendor 416', 'IBAN000000416')
Row 418: ('V417', 'Vendor 417', 'IBAN000000417')
Row 419: ('V418', 'Vendor 418', 'IBAN000000418')
Row 420: ('V419', 'Vendor 419', 'IBAN000000419')
Row 421: ('V420', 'Vendor 420', 'IBAN000000420')
Row 422: ('V421', 'Vendor 421', 'IBAN000000421')
Row 423: ('V422', 'Vendor 422', 'IBAN000000422')
Row 424: ('V423', 'Vendor 423', 'IBAN000000423')
Row 425: ('V424', 'Vendor 424', 'IBAN000000424')
Row 426: ('V425', 'Vendor 425', 'IBAN000000425')
Row 427: ('V426', 'Vendor 426', 'IBAN000000426')
Row 428: ('V427', 'Vendor 427', 'IBAN000000427')
Row 429: ('V428', 'Vendor 428', 'IBAN000000428')
Row 430: ('V429', 'Vendor 429', 'IBAN000000429')
Row 431: ('V430', 'Vendor 430', 'IBAN000000430')
Row 432: ('V431', 'Vendor 431', 'IBAN000000431')
Row 433: ('V432', 'Vendor 432', 'IBAN000000432')
Row 434: ('V433', 'Vendor 433', 'IBAN000000433')
Row 435: ('V434', 'Vendor 434', 'IBAN000000434')
Row 436: ('V435', 'Vendor 435', 'IBAN000000435')
Row 437: ('V436', 'Vendor 436', 'IBAN000000436')
Row 438: ('V437', 'Vendor 437', 'IBAN000000437')
Row 439: ('V438', 'Vendor 438', 'IBAN000000438')
Row 440: ('V439', 'Vendor 439', 'IBAN000000439')
Row 441: ('V440', 'Vendor 440', 'IBAN000000440')
Row 442: ('V441', 'Vendor 441', 'IBAN000000441')
Row 443: ('V442', 'Vendor 442', 'IBAN000000442')
Row 444: ('V443', 'Vendor 443', 'IBAN000000443')
Row 445: ('V444', 'Vendor 444', 'IBAN000000444')
Row 446: ('V445', 'Vendor 445', 'IBAN000000445')
Row 447: ('V446', 'Vendor 446', 'IBAN000000446')
Row 448: ('V447', 'Vendor 447', 'IBAN000000447')
Row 449: ('V448', 'Vendor 448', 'IBAN000000448')
Row 450: ('V449', 'Vendor 449', 'IBAN000000449')
Row 451: ('V450', 'Vendor 450', 'IBAN000000450')
Row 452: ('V451', 'Vendor 451', 'IBAN000000451')
Row 453: ('V452', 'Vendor 452', 'IBAN000000452')
Row 454: ('V453', 'Vendor 453', 'IBAN000000453')
Row 455: ('V454', 'Vendor 454', 'IBAN000000454')
Row 456: ('V455', 'Vendor 455', 'IBAN000000455')
Row 457: ('V456', 'Vendor 456', 'IBAN000000456')
Row 458: ('V457', 'Vendor 457', 'IBAN000000457')
Row 459: ('V458', 'Vendor 458', 'IBAN000000458')
Row 460: ('V459', 'Vendor 459', 'IBAN000000459')
Row 461: ('V460', 'Vendor 460', 'IBAN000000460')
Row 462: ('V461', 'Vendor 461', 'IBAN000000461')
Row 463: ('V462', 'Vendor 462', 'IBAN000000462')
Row 464: ('V463', 'Vendor 463', 'IBAN000000463')
Row 465: ('V464', 'Vendor 464', 'IBAN000000464')
