New Terminal Output:
bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[[1;34mINFO[m] Scanning for projects...
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-deploy-plugin/2.7/maven-deploy-plugin-2.7.pom (5.6 kB at 77 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-deploy-plugin/2.7/maven-deploy-plugin-2.7.jar
Progress (1): 3.8/27 kB
Progress (1): 7.9/27 kB
Progress (1): 12/27 kB 
Progress (1): 16/27 kB
Progress (1): 20/27 kB
Progress (1): 24/27 kB
Progress (1): 27 kB   
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-deploy-plugin/2.7/maven-deploy-plugin-2.7.jar (27 kB at 327 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-site-plugin/3.3/maven-site-plugin-3.3.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
Progress (1): 16 kB
Progress (1): 20 kB
Progress (1): 21 kB
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-site-plugin/3.3/maven-site-plugin-3.3.pom (21 kB at 267 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-site-plugin/3.3/maven-site-plugin-3.3.jar
Progress (1): 3.8/124 kB
Progress (1): 7.9/124 kB
Progress (1): 12/124 kB 
Progress (1): 16/124 kB
Progress (1): 20/124 kB
Progress (1): 24/124 kB
Progress (1): 28/124 kB
Progress (1): 32/124 kB
Progress (1): 37/124 kB
Progress (1): 41/124 kB
Progress (1): 45/124 kB
Progress (1): 49/124 kB
Progress (1): 53/124 kB
Progress (1): 57/124 kB
Progress (1): 61/124 kB
Progress (1): 65/124 kB
Progress (1): 69/124 kB
Progress (1): 73/124 kB
Progress (1): 77/124 kB
Progress (1): 82/124 kB
Progress (1): 86/124 kB
Progress (1): 90/124 kB
Progress (1): 94/124 kB
Progress (1): 98/124 kB
Progress (1): 102/124 kB
Progress (1): 106/124 kB
Progress (1): 110/124 kB
Progress (1): 114/124 kB
Progress (1): 118/124 kB
Progress (1): 123/124 kB
Progress (1): 124 kB    
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-site-plugin/3.3/maven-site-plugin-3.3.jar (124 kB at 1.3 MB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-antrun-plugin/1.3/maven-antrun-plugin-1.3.pom
Progress (1): 4.1 kB
Progress (1): 4.7 kB
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-antrun-plugin/1.3/maven-antrun-plugin-1.3.pom (4.7 kB at 54 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/12/maven-plugins-12.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/12/maven-plugins-12.pom (12 kB at 138 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/9/maven-parent-9.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
Progress (1): 16 kB
Progress (1): 20 kB
Progress (1): 25 kB
Progress (1): 29 kB
Progress (1): 33 kB
Progress (1): 33 kB
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/9/maven-parent-9.pom (33 kB at 377 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-antrun-plugin/1.3/maven-antrun-plugin-1.3.jar
Progress (1): 4.1/24 kB
Progress (1): 7.7/24 kB
Progress (1): 12/24 kB 
Progress (1): 16/24 kB
Progress (1): 20/24 kB
Progress (1): 24 kB   
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-antrun-plugin/1.3/maven-antrun-plugin-1.3.jar (24 kB at 284 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-assembly-plugin/2.2-beta-5/maven-assembly-plugin-2.2-beta-5.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
Progress (1): 15 kB
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-assembly-plugin/2.2-beta-5/maven-assembly-plugin-2.2-beta-5.pom (15 kB at 176 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/16/maven-plugins-16.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
Progress (1): 13 kB
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-plugins/16/maven-plugins-16.pom (13 kB at 142 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/15/maven-parent-15.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
Progress (1): 16 kB
Progress (1): 20 kB
Progress (1): 24 kB
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/maven-parent/15/maven-parent-15.pom (24 kB at 253 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/apache/6/apache-6.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
Progress (1): 13 kB
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/apache/6/apache-6.pom (13 kB at 162 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-assembly-plugin/2.2-beta-5/maven-assembly-plugin-2.2-beta-5.jar
Progress (1): 4.1/209 kB
Progress (1): 7.7/209 kB
Progress (1): 12/209 kB 
Progress (1): 16/209 kB
Progress (1): 20/209 kB
Progress (1): 24/209 kB
Progress (1): 28/209 kB
Progress (1): 32/209 kB
Progress (1): 36/209 kB
Progress (1): 40/209 kB
Progress (1): 45/209 kB
Progress (1): 49/209 kB
Progress (1): 53/209 kB
Progress (1): 57/209 kB
Progress (1): 61/209 kB
Progress (1): 65/209 kB
Progress (1): 69/209 kB
Progress (1): 73/209 kB
Progress (1): 77/209 kB
Progress (1): 81/209 kB
Progress (1): 86/209 kB
Progress (1): 90/209 kB
Progress (1): 94/209 kB
Progress (1): 98/209 kB
Progress (1): 102/209 kB
Progress (1): 106/209 kB
Progress (1): 110/209 kB
Progress (1): 114/209 kB
Progress (1): 118/209 kB
Progress (1): 122/209 kB
Progress (1): 127/209 kB
Progress (1): 131/209 kB
Progress (1): 135/209 kB
Progress (1): 139/209 kB
Progress (1): 143/209 kB
Progress (1): 147/209 kB
Progress (1): 151/209 kB
Progress (1): 155/209 kB
Progress (1): 159/209 kB
Progress (1): 163/209 kB
Progress (1): 167/209 kB
Progress (1): 172/209 kB
Progress (1): 176/209 kB
Progress (1): 180/209 kB
Progress (1): 184/209 kB
Progress (1): 188/209 kB
Progress (1): 192/209 kB
Progress (1): 196/209 kB
Progress (1): 200/209 kB
Progress (1): 204/209 kB
Progress (1): 208/209 kB
Progress (1): 209 kB    
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-assembly-plugin/2.2-beta-5/maven-assembly-plugin-2.2-beta-5.jar (209 kB at 2.2 MB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/2.8/maven-dependency-plugin-2.8.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 11 kB 
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/2.8/maven-dependency-plugin-2.8.pom (11 kB at 145 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/2.8/maven-dependency-plugin-2.8.jar
Progress (1): 4.1/153 kB
Progress (1): 7.7/153 kB
Progress (1): 12/153 kB 
Progress (1): 16/153 kB
Progress (1): 20/153 kB
Progress (1): 24/153 kB
Progress (1): 28/153 kB
Progress (1): 32/153 kB
Progress (1): 36/153 kB
Progress (1): 40/153 kB
Progress (1): 45/153 kB
Progress (1): 49/153 kB
Progress (1): 53/153 kB
Progress (1): 57/153 kB
Progress (1): 61/153 kB
Progress (1): 65/153 kB
Progress (1): 69/153 kB
Progress (1): 73/153 kB
Progress (1): 77/153 kB
Progress (1): 81/153 kB
Progress (1): 86/153 kB
Progress (1): 90/153 kB
Progress (1): 94/153 kB
Progress (1): 98/153 kB
Progress (1): 102/153 kB
Progress (1): 106/153 kB
Progress (1): 110/153 kB
Progress (1): 114/153 kB
Progress (1): 118/153 kB
Progress (1): 122/153 kB
Progress (1): 127/153 kB
Progress (1): 131/153 kB
Progress (1): 135/153 kB
Progress (1): 139/153 kB
Progress (1): 143/153 kB
Progress (1): 147/153 kB
Progress (1): 151/153 kB
Progress (1): 153 kB    
                    
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-dependency-plugin/2.8/maven-dependency-plugin-2.8.jar (153 kB at 1.5 MB/s)
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m--------------------< [0;36mcom.google.auto:auto-common[0;1m >---------------------[m
[[1;34mINFO[m] [1mBuilding Auto Common Libraries 1.0-SNAPSHOT[m
[[1;34mINFO[m] [1m--------------------------------[ jar ]---------------------------------[m
[[1;34mINFO[m] [1m------------------------------------------------------------------------[m
[[1;34mINFO[m] [1;31mBUILD FAILURE[m
[[1;34mINFO[m] [1m------------------------------------------------------------------------[m
[[1;34mINFO[m] Total time:  2.046 s
[[1;34mINFO[m] Finished at: 2026-01-26T15:30:40Z
[[1;34mINFO[m] [1m------------------------------------------------------------------------[m
[[1;31mERROR[m] Failed to execute goal on project [36mauto-common[m: [1;31mCould not resolve dependencies for project com.google.auto:auto-common:jar:1.0-SNAPSHOT: Could not find artifact com.sun:tools:jar:11.0.27 at specified path /usr/lib/jvm/java-11-openjdk-amd64/../lib/tools.jar[m -> [1m[Help 1][m
[[1;31mERROR[m] 
[[1;31mERROR[m] To see the full stack trace of the errors, re-run Maven with the [1m-e[m switch.
[[1;31mERROR[m] Re-run Maven using the [1m-X[m switch to enable full debug logging.
[[1;31mERROR[m] 
[[1;31mERROR[m] For more information about the errors and possible solutions, please read the following articles:
[[1;31mERROR[m] [1m[Help 1][m http://cwiki.apache.org/confluence/display/MAVEN/DependencyResolutionException
