New Terminal Output:

go: downloading github.com/golang/groupcache v0.0.0-20241129210726-2c02b8208cf8
go: downloading github.com/envoyproxy/protoc-gen-validate v1.2.1
go: downloading cel.dev/expr v0.24.0
go: downloading github.com/envoyproxy/protoc-gen-validate v1.2.1
go: downloading github.com/envoyproxy/protoc-gen-validate v1.2.1
go: downloading cel.dev/expr v0.24.0
go: downloading github.com/go-jose/go-jose/v4 v4.1.3
go: downloading github.com/envoyproxy/protoc-gen-validate v1.2.1
go: downloading cel.dev/expr v0.24.0
go: downloading cel.dev/expr v0.24.0
go: downloading github.com/go-jose/go-jose/v4 v4.1.3
go: downloading github.com/go-jose/go-jose/v4 v4.1.3
go: downloading github.com/go-jose/go-jose/v4 v4.1.3
go: downloading github.com/go-jose/go-jose/v4 v4.1.3
go: downloading golang.org/x/text v0.31.0
go: downloading golang.org/x/text v0.31.0
go: downloading golang.org/x/text v0.31.0
go: downloading golang.org/x/text v0.31.0
go: downloading golang.org/x/text v0.31.0
/usr/bin/ld: /tmp/ccjIjCgT.o: in function `Connection::Connect(char const*, char const*)':
executor.cc:(.text._ZN10Connection7ConnectEPKcS1_[_ZN10Connection7ConnectEPKcS1_]+0x118): warning: Using 'gethostbyname' in statically linked applications requi
res at runtime the shared libraries from the glibc version used for linking
./tools/check-syzos.sh 2>/dev/null
go: downloading cloud.google.com/go/auth/oauth2adapt v0.2.8
go: downloading github.com/googleapis/enterprise-certificate-proxy v0.3.7
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.63.0
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.63.0
go: downloading golang.org/x/time v0.14.0
go: downloading github.com/google/s2a-go v0.1.9
go: downloading github.com/googleapis/enterprise-certificate-proxy v0.3.7
go: downloading github.com/google/s2a-go v0.1.9
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.63.0
go: downloading cloud.google.com/go/auth/oauth2adapt v0.2.8
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.63.0
go: downloading golang.org/x/time v0.14.0
go: downloading github.com/google/s2a-go v0.1.9
go: downloading github.com/googleapis/enterprise-certificate-proxy v0.3.7
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.63.0
go: downloading golang.org/x/time v0.14.0
go: downloading cloud.google.com/go/auth/oauth2adapt v0.2.8
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.63.0
go: downloading github.com/google/s2a-go v0.1.9
go: downloading github.com/googleapis/enterprise-certificate-proxy v0.3.7
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.63.0
go: downloading golang.org/x/time v0.14.0
go: downloading go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp v0.63.0
go: downloading github.com/google/s2a-go v0.1.9
go: downloading go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc v0.63.0
go: downloading golang.org/x/crypto v0.45.0
go: downloading golang.org/x/crypto v0.45.0
go: downloading golang.org/x/crypto v0.45.0
go: downloading golang.org/x/crypto v0.45.0
go: downloading golang.org/x/crypto v0.45.0

