origin,destination,cost,duration,distance
Columbus,Cincinnati,,1 hour 39 mins,172 km
Akron,Minneapolis,,11 hours 32 mins,"1,247 km"
Akron,Toledo,,2 hours 5 mins,222 km
Akron,Cleveland,,44 mins,63.2 km
Akron,Dayton,,2 hours 55 mins,314 km
Akron,Columbus,,1 hour 52 mins,201 km
Akron,Cincinnati,,3 hours 28 mins,373 km
Cincinnati,Minneapolis,,10 hours 26 mins,"1,135 km"
Cincinnati,Toledo,,3 hours 1 min,326 km
Cincinnati,Cleveland,,3 hours 44 mins,401 km
Cincinnati,Dayton,,55 mins,87.3 km
Cincinnati,Columbus,,1 hour 39 mins,173 km
Cincinnati,Akron,,3 hours 29 mins,373 km
Cleveland,Sarasota,,16 hours 59 mins,"1,842 km"
Cleveland,Fort Myers,,17 hours 57 mins,"1,948 km"
Cleveland,Gainesville,,14 hours 19 mins,"1,552 km"
Cleveland,Orlando,,15 hours 12 mins,"1,670 km"
Cleveland,Daytona Beach,,14 hours 34 mins,"1,595 km"
Cleveland,Jacksonville,,13 hours 9 mins,"1,442 km"
Cleveland,Tampa,,16 hours 12 mins,"1,758 km"
Cleveland,Panama City,,15 hours 1 min,"1,573 km"
Cleveland,Key West,,21 hours 8 mins,"2,252 km"
Cleveland,West Palm Beach,,17 hours 7 mins,"1,900 km"
Cleveland,Miami,,18 hours 8 mins,"1,999 km"
Cleveland,Tallahassee,,14 hours 38 mins,"1,572 km"
Cleveland,Punta Gorda,,17 hours 31 mins,"1,912 km"
Cleveland,Fort Lauderdale,,17 hours 45 mins,"1,968 km"
Cleveland,Pensacola,,14 hours 13 mins,"1,551 km"
Sarasota,Cleveland,,17 hours 3 mins,"1,845 km"
Fort Myers,Cleveland,,18 hours 0 mins,"1,951 km"
Gainesville,Cleveland,,14 hours 25 mins,"1,556 km"
Orlando,Cleveland,,15 hours 10 mins,"1,669 km"
Daytona Beach,Cleveland,,14 hours 36 mins,"1,586 km"
Jacksonville,Cleveland,,13 hours 13 mins,"1,443 km"
Tampa,Cleveland,,16 hours 15 mins,"1,760 km"
Panama City,Cleveland,,15 hours 2 mins,"1,568 km"
Key West,Cleveland,,21 hours 10 mins,"2,252 km"
West Palm Beach,Cleveland,,17 hours 8 mins,"1,899 km"
Miami,Cleveland,,18 hours 7 mins,"2,001 km"
Tallahassee,Cleveland,,14 hours 38 mins,"1,573 km"
Punta Gorda,Cleveland,,17 hours 35 mins,"1,915 km"
Fort Lauderdale,Cleveland,,17 hours 46 mins,"1,968 km"
Pensacola,Cleveland,,14 hours 9 mins,"1,549 km"
Bloomington,Daytona Beach,,13 hours 59 mins,"1,534 km"
Daytona Beach,Bloomington,,13 hours 55 mins,"1,525 km"
Green Bay,Daytona Beach,,20 hours 3 mins,"2,197 km"
Daytona Beach,Green Bay,,20 hours 2 mins,"2,189 km"
Minneapolis,Baltimore,,16 hours 36 mins,"1,795 km"
Baltimore,Minneapolis,,16 hours 36 mins,"1,785 km"
Chicago,Daytona Beach,,17 hours 0 mins,"1,858 km"
Daytona Beach,Chicago,,16 hours 59 mins,"1,850 km"
Charlotte,Daytona Beach,,6 hours 56 mins,770 km
Daytona Beach,Charlotte,,6 hours 55 mins,759 km
South Bend,Daytona Beach,,16 hours 30 mins,"1,792 km"
Daytona Beach,South Bend,,16 hours 28 mins,"1,784 km"
Detroit,Daytona Beach,,16 hours 39 mins,"1,774 km"
Daytona Beach,Detroit,,16 hours 34 mins,"1,768 km"
Bemidji,Minneapolis,,3 hours 34 mins,347 km
Minneapolis,Bemidji,,3 hours 37 mins,347 km
Philadelphia,Cleveland,,6 hours 40 mins,694 km
Cleveland,Philadelphia,,6 hours 38 mins,693 km
New Orleans,Daytona Beach,,9 hours 9 mins,"1,029 km"
Daytona Beach,New Orleans,,9 hours 7 mins,"1,022 km"
Atlanta,Minneapolis,,16 hours 26 mins,"1,821 km"
Minneapolis,Atlanta,,16 hours 20 mins,"1,814 km"
Pittsburgh,Daytona Beach,,13 hours 43 mins,"1,489 km"
Daytona Beach,Pittsburgh,,13 hours 42 mins,"1,476 km"
Cleveland,Pellston,,6 hours 10 mins,696 km
Cleveland,Traverse City,,6 hours 10 mins,655 km
Cleveland,Alpena,,6 hours 8 mins,643 km
Cleveland,Iron Mountain,,,
Cleveland,Kalamazoo,,4 hours 1 min,416 km
Cleveland,Saginaw,,3 hours 50 mins,409 km
Cleveland,Grand Rapids,,4 hours 28 mins,482 km
Cleveland,Lansing,,3 hours 30 mins,374 km
Cleveland,Muskegon,,5 hours 1 min,545 km
Cleveland,Hancock,,,
Cleveland,Detroit,,2 hours 37 mins,271 km
Cleveland,Escanaba,,8 hours 40 mins,944 km
Pellston,Cleveland,,6 hours 12 mins,698 km
Traverse City,Cleveland,,6 hours 13 mins,657 km
Alpena,Cleveland,,6 hours 10 mins,644 km
Iron Mountain,Cleveland,,,
Kalamazoo,Cleveland,,4 hours 1 min,416 km
Saginaw,Cleveland,,3 hours 51 mins,410 km
Grand Rapids,Cleveland,,4 hours 28 mins,484 km
Lansing,Cleveland,,3 hours 32 mins,376 km
Muskegon,Cleveland,,5 hours 3 mins,548 km
Hancock,Cleveland,,,
Detroit,Cleveland,,2 hours 39 mins,273 km
Escanaba,Cleveland,,8 hours 41 mins,945 km
Las Vegas,Minneapolis,,23 hours 37 mins,"2,667 km"
Minneapolis,Las Vegas,,23 hours 40 mins,"2,669 km"
Minneapolis,Seattle,,23 hours 48 mins,"2,666 km"
Seattle,Minneapolis,,23 hours 47 mins,"2,665 km"
Louisville,Daytona Beach,,12 hours 33 mins,"1,381 km"
Daytona Beach,Louisville,,12 hours 32 mins,"1,374 km"
Albany,Daytona Beach,,,
Daytona Beach,Albany,,,
Fort Myers,Toledo,,17 hours 48 mins,"1,989 km"
Fort Myers,Cleveland,,18 hours 0 mins,"1,951 km"
Fort Myers,Dayton,,15 hours 42 mins,"1,751 km"
Fort Myers,Columbus,,16 hours 28 mins,"1,837 km"
Fort Myers,Akron,,17 hours 25 mins,"1,892 km"
Fort Myers,Cincinnati,,14 hours 54 mins,"1,665 km"
Toledo,Fort Myers,,17 hours 50 mins,"1,988 km"
Cleveland,Fort Myers,,17 hours 57 mins,"1,948 km"
Dayton,Fort Myers,,15 hours 45 mins,"1,749 km"
Columbus,Fort Myers,,16 hours 29 mins,"1,836 km"
Akron,Fort Myers,,17 hours 22 mins,"1,891 km"
Cincinnati,Fort Myers,,14 hours 56 mins,"1,664 km"
St. Louis,Daytona Beach,,14 hours 26 mins,"1,596 km"
Daytona Beach,St. Louis,,14 hours 23 mins,"1,588 km"
Los Angeles,Daytona Beach,,1 day 12 hours,"4,037 km"
Daytona Beach,Los Angeles,,1 day 12 hours,"4,028 km"
Kansas City,Minneapolis,,6 hours 22 mins,701 km
Minneapolis,Kansas City,,6 hours 21 mins,702 km
Austin,Minneapolis,,16 hours 46 mins,"1,882 km"
Minneapolis,Austin,,16 hours 47 mins,"1,886 km"
Philadelphia,Minneapolis,,17 hours 26 mins,"1,878 km"
Minneapolis,Philadelphia,,17 hours 22 mins,"1,885 km"
Escanaba,Minneapolis,,5 hours 51 mins,590 km
Minneapolis,Escanaba,,5 hours 51 mins,589 km
Chicago,Cincinnati,,4 hours 34 mins,477 km
Cincinnati,Chicago,,4 hours 34 mins,475 km
Minneapolis,Nashville,,12 hours 45 mins,"1,420 km"
Minneapolis,Bristol,,,
Minneapolis,Knoxville,,13 hours 55 mins,"1,527 km"
Minneapolis,Chattanooga,,14 hours 38 mins,"1,628 km"
Minneapolis,Memphis,,12 hours 18 mins,"1,333 km"
Nashville,Minneapolis,,12 hours 50 mins,"1,426 km"
Bristol,Minneapolis,,,
Knoxville,Minneapolis,,13 hours 58 mins,"1,529 km"
Chattanooga,Minneapolis,,14 hours 45 mins,"1,636 km"
Memphis,Minneapolis,,12 hours 18 mins,"1,333 km"
Harrisburg,Daytona Beach,,13 hours 29 mins,"1,470 km"
Daytona Beach,Harrisburg,,13 hours 18 mins,"1,457 km"
Milwaukee,Minneapolis,,4 hours 57 mins,543 km
Minneapolis,Milwaukee,,4 hours 56 mins,542 km
Seattle,Daytona Beach,,1 day 21 hours,"4,947 km"
Daytona Beach,Seattle,,1 day 21 hours,"4,939 km"
Memphis,Minneapolis,,12 hours 18 mins,"1,333 km"
Minneapolis,Memphis,,12 hours 18 mins,"1,333 km"
Cincinnati,Buffalo,,6 hours 25 mins,702 km
Cincinnati,Manhattan,,10 hours 10 mins,"1,035 km"
Cincinnati,Niagara Falls,,6 hours 46 mins,733 km
Cincinnati,Islip,,10 hours 52 mins,"1,132 km"
Cincinnati,New York,,10 hours 0 mins,"1,029 km"
Cincinnati,Watertown,,9 hours 25 mins,"1,031 km"
Cincinnati,Newburgh,,10 hours 5 mins,"1,088 km"
Cincinnati,Syracuse,,8 hours 29 mins,928 km
Cincinnati,Plattsburgh,,12 hours 17 mins,"1,289 km"
Cincinnati,Ogdensburg,,10 hours 24 mins,"1,124 km"
Cincinnati,Ithaca,,8 hours 36 mins,922 km
Cincinnati,Elmira,,8 hours 5 mins,884 km
Cincinnati,White Plains,,10 hours 16 mins,"1,113 km"
Cincinnati,Albany,,,
Cincinnati,Binghamton,,8 hours 54 mins,972 km
Cincinnati,Rochester,,7 hours 23 mins,807 km
Buffalo,Cincinnati,,6 hours 27 mins,702 km
Manhattan,Cincinnati,,10 hours 7 mins,"1,034 km"
Niagara Falls,Cincinnati,,6 hours 48 mins,732 km
Islip,Cincinnati,,10 hours 52 mins,"1,131 km"
New York,Cincinnati,,9 hours 57 mins,"1,026 km"
Watertown,Cincinnati,,9 hours 27 mins,"1,030 km"
Newburgh,Cincinnati,,10 hours 6 mins,"1,086 km"
Syracuse,Cincinnati,,8 hours 30 mins,928 km
Plattsburgh,Cincinnati,,12 hours 19 mins,"1,290 km"
Ogdensburg,Cincinnati,,10 hours 26 mins,"1,123 km"
Ithaca,Cincinnati,,8 hours 36 mins,921 km
Elmira,Cincinnati,,8 hours 6 mins,884 km
White Plains,Cincinnati,,10 hours 18 mins,"1,079 km"
Albany,Cincinnati,,,
Binghamton,Cincinnati,,8 hours 56 mins,972 km
Rochester,Cincinnati,,7 hours 25 mins,807 km
Cleveland,Baltimore,,5 hours 52 mins,603 km
Baltimore,Cleveland,,5 hours 51 mins,601 km
Columbus,Augusta,,9 hours 5 mins,944 km
Columbus,Decatur,,8 hours 34 mins,921 km
Columbus,Atlanta,,8 hours 19 mins,913 km
Columbus,Valdosta,,11 hours 36 mins,"1,280 km"
Columbus,Savannah,,10 hours 20 mins,"1,087 km"
Augusta,Columbus,,9 hours 4 mins,947 km
Decatur,Columbus,,8 hours 36 mins,921 km
Atlanta,Columbus,,8 hours 20 mins,913 km
Valdosta,Columbus,,11 hours 35 mins,"1,280 km"
Savannah,Columbus,,10 hours 19 mins,"1,087 km"
Las Vegas,Daytona Beach,,1 day 10 hours,"3,708 km"
Daytona Beach,Las Vegas,,1 day 9 hours,"3,710 km"
Cincinnati,Bemidji,,13 hours 54 mins,"1,479 km"
Cincinnati,Minneapolis,,10 hours 26 mins,"1,135 km"
Cincinnati,Duluth,,11 hours 24 mins,"1,230 km"
Cincinnati,Brainerd,,12 hours 22 mins,"1,336 km"
Cincinnati,Gustavus,,10 hours 53 mins,"1,182 km"
Cincinnati,St. Cloud,,11 hours 23 mins,"1,238 km"
Cincinnati,Hibbing,,12 hours 41 mins,"1,350 km"
Cincinnati,International Falls,,14 hours 5 mins,"1,492 km"
Bemidji,Cincinnati,,13 hours 51 mins,"1,480 km"
Minneapolis,Cincinnati,,10 hours 24 mins,"1,133 km"
Duluth,Cincinnati,,11 hours 23 mins,"1,231 km"
Brainerd,Cincinnati,,12 hours 21 mins,"1,337 km"
Gustavus,Cincinnati,,10 hours 52 mins,"1,180 km"
St. Cloud,Cincinnati,,11 hours 22 mins,"1,238 km"
Hibbing,Cincinnati,,12 hours 40 mins,"1,351 km"
International Falls,Cincinnati,,14 hours 4 mins,"1,492 km"
Cincinnati,Sarasota,,13 hours 58 mins,"1,559 km"
Cincinnati,Fort Myers,,14 hours 56 mins,"1,664 km"
Cincinnati,Gainesville,,11 hours 34 mins,"1,274 km"
Cincinnati,Orlando,,12 hours 58 mins,"1,447 km"
Cincinnati,Daytona Beach,,13 hours 4 mins,"1,434 km"
Cincinnati,Jacksonville,,11 hours 39 mins,"1,280 km"
Cincinnati,Tampa,,13 hours 11 mins,"1,474 km"
Cincinnati,Panama City,,11 hours 23 mins,"1,173 km"
Cincinnati,Key West,,19 hours 10 mins,"2,061 km"
Cincinnati,West Palm Beach,,15 hours 12 mins,"1,702 km"
Cincinnati,Miami,,16 hours 10 mins,"1,807 km"
Cincinnati,Tallahassee,,11 hours 0 mins,"1,173 km"
Cincinnati,Punta Gorda,,14 hours 30 mins,"1,629 km"
Cincinnati,Fort Lauderdale,,15 hours 49 mins,"1,770 km"
Cincinnati,Pensacola,,10 hours 35 mins,"1,151 km"
Sarasota,Cincinnati,,13 hours 57 mins,"1,560 km"
Fort Myers,Cincinnati,,14 hours 54 mins,"1,665 km"
Gainesville,Cincinnati,,11 hours 33 mins,"1,274 km"
Orlando,Cincinnati,,12 hours 55 mins,"1,446 km"
Daytona Beach,Cincinnati,,13 hours 1 min,"1,437 km"
Jacksonville,Cincinnati,,11 hours 42 mins,"1,280 km"
Tampa,Cincinnati,,13 hours 9 mins,"1,475 km"
Panama City,Cincinnati,,11 hours 24 mins,"1,168 km"
Key West,Cincinnati,,19 hours 10 mins,"2,061 km"
West Palm Beach,Cincinnati,,15 hours 9 mins,"1,704 km"
Miami,Cincinnati,,16 hours 6 mins,"1,809 km"
Tallahassee,Cincinnati,,11 hours 0 mins,"1,172 km"
Punta Gorda,Cincinnati,,14 hours 28 mins,"1,629 km"
Fort Lauderdale,Cincinnati,,15 hours 48 mins,"1,772 km"
Pensacola,Cincinnati,,10 hours 30 mins,"1,149 km"
Atlanta,Minneapolis,,16 hours 26 mins,"1,821 km"
Minneapolis,Atlanta,,16 hours 20 mins,"1,814 km"
Knoxville,Daytona Beach,,9 hours 25 mins,"1,034 km"
Daytona Beach,Knoxville,,9 hours 23 mins,"1,039 km"
Minneapolis,Moline,,5 hours 27 mins,582 km
Minneapolis,Belleville,,8 hours 48 mins,927 km
Minneapolis,Bloomington,,9 hours 36 mins,"1,030 km"
Minneapolis,Champaign,,7 hours 25 mins,822 km
Minneapolis,Chicago,,6 hours 5 mins,657 km
Minneapolis,Rockford,,5 hours 1 min,538 km
Minneapolis,Peoria,,6 hours 46 mins,730 km
Moline,Minneapolis,,5 hours 26 mins,580 km
Belleville,Minneapolis,,8 hours 50 mins,927 km
Bloomington,Minneapolis,,9 hours 38 mins,"1,033 km"
Champaign,Minneapolis,,7 hours 28 mins,825 km
Chicago,Minneapolis,,6 hours 5 mins,658 km
Rockford,Minneapolis,,5 hours 3 mins,540 km
Peoria,Minneapolis,,6 hours 46 mins,729 km
Minneapolis,Miami,,1 day 2 hours,"2,880 km"
Miami,Minneapolis,,1 day 2 hours,"2,889 km"
Chicago,Minneapolis,,6 hours 5 mins,658 km
Minneapolis,Chicago,,6 hours 5 mins,657 km
Columbus,Newark,,8 hours 14 mins,844 km
Newark,Columbus,,8 hours 11 mins,844 km
San Juan,Daytona Beach,,,
Daytona Beach,San Juan,,,
Cincinnati,State College,,6 hours 40 mins,686 km
Cincinnati,Johnstown,,5 hours 36 mins,574 km
Cincinnati,Harrisburg,,7 hours 16 mins,759 km
Cincinnati,Erie,,5 hours 8 mins,557 km
Cincinnati,Pittsburgh,,4 hours 24 mins,464 km
Cincinnati,Latrobe,,5 hours 2 mins,510 km
Cincinnati,Philadelphia,,8 hours 44 mins,921 km
Cincinnati,Lewisburg,,7 hours 27 mins,810 km
Cincinnati,Scranton,,8 hours 37 mins,936 km
State College,Cincinnati,,6 hours 42 mins,692 km
Johnstown,Cincinnati,,5 hours 38 mins,572 km
Harrisburg,Cincinnati,,7 hours 15 mins,758 km
Erie,Cincinnati,,5 hours 10 mins,556 km
Pittsburgh,Cincinnati,,4 hours 26 mins,465 km
Latrobe,Cincinnati,,5 hours 1 min,511 km
Philadelphia,Cincinnati,,8 hours 47 mins,922 km
Lewisburg,Cincinnati,,7 hours 26 mins,808 km
Scranton,Cincinnati,,8 hours 36 mins,933 km
Spokane,Minneapolis,,19 hours 44 mins,"2,218 km"
Minneapolis,Spokane,,19 hours 44 mins,"2,218 km"
Cleveland,San Diego,,1 day 11 hours,"3,809 km"
Cleveland,Redding,,1 day 12 hours,"3,915 km"
Cleveland,Sacramento,,1 day 10 hours,"3,813 km"
Cleveland,Fresno,,1 day 12 hours,"3,972 km"
Cleveland,San Luis Obispo,,1 day 12 hours,"4,015 km"
Cleveland,Oakland,,1 day 12 hours,"3,943 km"
Cleveland,Santa Barbara,,1 day 11 hours,"3,914 km"
Cleveland,Stockton,,1 day 11 hours,"3,889 km"
Cleveland,Santa Rosa,,1 day 12 hours,"3,968 km"
Cleveland,Bakersfield,,1 day 10 hours,"3,796 km"
Cleveland,Santa Ana,,1 day 10 hours,"3,771 km"
Cleveland,Santa Maria,,1 day 12 hours,"3,970 km"
Cleveland,San Jose,,1 day 12 hours,"4,005 km"
Cleveland,Burbank,,1 day 10 hours,"3,781 km"
Cleveland,Arcata,,1 day 14 hours,"4,140 km"
Cleveland,Butte,,1 day 11 hours,"3,852 km"
Cleveland,Palm Springs,,1 day 9 hours,"3,670 km"
Cleveland,Los Angeles,,1 day 10 hours,"3,772 km"
Cleveland,Long Beach,,1 day 10 hours,"3,794 km"
Cleveland,San Francisco,,1 day 12 hours,"3,953 km"
Cleveland,Monterey,,1 day 13 hours,"4,113 km"
San Diego,Cleveland,,1 day 11 hours,"3,808 km"
Redding,Cleveland,,1 day 12 hours,"3,925 km"
Sacramento,Cleveland,,1 day 10 hours,"3,822 km"
Fresno,Cleveland,,1 day 12 hours,"3,975 km"
San Luis Obispo,Cleveland,,1 day 12 hours,"4,020 km"
Oakland,Cleveland,,1 day 12 hours,"3,952 km"
Santa Barbara,Cleveland,,1 day 11 hours,"3,917 km"
Stockton,Cleveland,,1 day 11 hours,"3,899 km"
Santa Rosa,Cleveland,,1 day 12 hours,"3,977 km"
Bakersfield,Cleveland,,1 day 10 hours,"3,800 km"
Santa Ana,Cleveland,,1 day 10 hours,"3,770 km"
Santa Maria,Cleveland,,1 day 12 hours,"3,975 km"
San Jose,Cleveland,,1 day 12 hours,"4,013 km"
Burbank,Cleveland,,1 day 10 hours,"3,778 km"
Arcata,Cleveland,,1 day 14 hours,"4,148 km"
Butte,Cleveland,,1 day 11 hours,"3,861 km"
