New Terminal Output:
(CVXPY) Jan 26 03:40:50 AM: Your problem has 3889 variables, 14075 constraints, and 0 parameters.
(CVXPY) Jan 26 03:40:51 AM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 26 03:40:51 AM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 26 03:40:51 AM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 26 03:40:51 AM: Your problem is compiled with the CPP canonicalization backend.
(CVXPY) Jan 26 03:40:51 AM: Compiling problem (target solver=CLARABEL).
(CVXPY) Jan 26 03:40:51 AM: Reduction chain: Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> CLARABEL
(CVXPY) Jan 26 03:40:51 AM: Applying reduction Dcp2Cone
(CVXPY) Jan 26 03:40:52 AM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 26 03:40:52 AM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 26 03:40:58 AM: Applying reduction CLARABEL
(CVXPY) Jan 26 03:40:58 AM: Finished problem compilation (took 7.774e+00 seconds).
(CVXPY) Jan 26 03:40:58 AM: Invoking solver CLARABEL  to obtain a solution.
===============================================================================
                                     CVXPY                                     
                                     v1.7.5                                    
===============================================================================
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
-------------------------------------------------------------
           Clarabel.rs v0.11.1  -  Clever Acronym                

                   (c) Paul Goulart                          
                University of Oxford, 2022                   
-------------------------------------------------------------

problem:
  variables     = 4399
  constraints   = 14585
  nnz(P)        = 0
  nnz(A)        = 33724
  cones (total) = 2
    :        Zero = 1,  numel = 3380
    : Nonnegative = 1,  numel = 11205

settings:
  linear algebra: direct / qdldl, precision: 64 bit (1 thread)
  max iter = 200, time limit = Inf,  max step = 0.990
  tol_feas = 1.0e-8, tol_gap_abs = 1.0e-8, tol_gap_rel = 1.0e-8,
  static reg : on, ϵ1 = 1.0e-8, ϵ2 = 4.9e-32
  dynamic reg: on, ϵ = 1.0e-13, δ = 2.0e-7
  iter refine: on, reltol = 1.0e-13, abstol = 1.0e-12,
               max iter = 10, stop ratio = 5.0
  equilibrate: on, min_scale = 1.0e-4, max_scale = 1.0e4
               max iter = 10

iter    pcost        dcost       gap       pres      dres      k/t        μ       step      
 18  +2.9078e+06  +2.7550e+06  5.55e-02  2.99e-02  3.28e-13  1.25e+02  1.14e+03  1.13e-02  
 19  +2.9077e+06  +2.7553e+06  5.53e-02  2.99e-02  3.64e-13  1.23e+02  1.14e+03  1.02e-02  
 20  +2.9083e+06  +2.7625e+06  5.28e-02  2.86e-02  3.63e-13  1.09e+02  1.12e+03  8.09e-02  
 21  +2.9097e+06  +2.7820e+06  4.59e-02  2.51e-02  3.21e-13  8.58e+01  9.83e+02  2.83e-01  
 22  +2.9108e+06  +2.7799e+06  4.71e-02  2.57e-02  3.57e-13  8.75e+01  9.65e+02  8.49e-02  
 23  +2.9110e+06  +2.7807e+06  4.68e-02  2.56e-02  3.64e-13  8.59e+01  9.47e+02  5.75e-02  
 24  +2.9110e+06  +2.7787e+06  4.76e-02  2.60e-02  4.26e-13  8.32e+01  9.27e+02  1.28e-01  
 25  +2.9117e+06  +2.7816e+06  4.68e-02  2.56e-02  4.28e-13  7.81e+01  9.24e+02  5.24e-02  
 26  +2.9168e+06  +2.8034e+06  4.04e-02  2.23e-02  4.05e-13  6.12e+01  8.07e+02  2.58e-01  
 27  +2.9214e+06  +2.8352e+06  3.04e-02  1.70e-02  3.57e-13  4.11e+01  6.30e+02  3.74e-01  
 28  +2.9274e+06  +2.8703e+06  1.99e-02  1.13e-02  2.59e-13  2.28e+01  4.28e+02  5.07e-01  
 29  +2.9274e+06  +2.8696e+06  2.01e-02  1.15e-02  2.87e-13  2.33e+01  4.27e+02  9.67e-03  
 30  +2.9273e+06  +2.8696e+06  2.01e-02  1.15e-02  3.14e-13  2.32e+01  4.27e+02  9.91e-03  
 31  +2.9275e+06  +2.8706e+06  1.98e-02  1.13e-02  3.20e-13  2.20e+01  4.22e+02  6.82e-02  
 32  +2.9275e+06  +2.8706e+06  1.98e-02  1.13e-02  3.32e-13  2.19e+01  4.21e+02  8.30e-03  
 33  +2.9279e+06  +2.8728e+06  1.92e-02  1.09e-02  3.59e-13  1.99e+01  4.14e+02  9.44e-02  
 34  +2.9286e+06  +2.8762e+06  1.82e-02  1.04e-02  3.76e-13  1.83e+01  3.89e+02  1.49e-01  
 35  +2.9312e+06  +2.8892e+06  1.45e-02  8.35e-03  3.02e-13  1.30e+01  3.12e+02  3.78e-01  
 36  +2.9312e+06  +2.8895e+06  1.44e-02  8.29e-03  3.78e-13  1.26e+01  3.11e+02  3.06e-02  
 37  +2.9310e+06  +2.8905e+06  1.40e-02  8.05e-03  3.70e-13  1.06e+01  2.95e+02  3.69e-01  
 38  +2.9311e+06  +2.8911e+06  1.38e-02  7.95e-03  3.95e-13  1.02e+01  2.93e+02  3.95e-02  
 39  +2.9312e+06  +2.8904e+06  1.41e-02  8.10e-03  4.14e-13  1.06e+01  2.93e+02  8.93e-03  
 40  +2.9315e+06  +2.8917e+06  1.38e-02  7.91e-03  4.29e-13  9.76e+00  2.86e+02  1.46e-01  
 41  +2.9330e+06  +2.8971e+06  1.24e-02  7.15e-03  4.08e-13  8.45e+00  2.56e+02  2.18e-01  
 42  +2.9334e+06  +2.8990e+06  1.19e-02  6.85e-03  4.05e-13  7.24e+00  2.42e+02  3.62e-01  
 43  +2.9335e+06  +2.8994e+06  1.18e-02  6.79e-03  4.20e-13  7.11e+00  2.41e+02  3.05e-02  
 44  +2.9355e+06  +2.9059e+06  1.02e-02  5.88e-03  3.90e-13  5.89e+00  2.10e+02  2.34e-01  
 45  +2.9356e+06  +2.9067e+06  9.95e-03  5.76e-03  3.64e-13  5.64e+00  2.05e+02  1.27e-01  
 46  +2.9382e+06  +2.9154e+06  7.80e-03  4.53e-03  3.30e-13  4.37e+00  1.59e+02  3.30e-01  
 47  +2.9382e+06  +2.9155e+06  7.80e-03  4.53e-03  3.71e-13  4.36e+00  1.59e+02  2.05e-03  
 48  +2.9384e+06  +2.9164e+06  7.57e-03  4.40e-03  3.66e-13  4.09e+00  1.59e+02  4.34e-02  
 49  +2.9402e+06  +2.9231e+06  5.87e-03  3.42e-03  3.00e-13  3.07e+00  1.23e+02  3.94e-01  
 50  +2.9403e+06  +2.9227e+06  6.03e-03  3.51e-03  3.22e-13  3.23e+00  1.23e+02  1.90e-02  
 51  +2.9405e+06  +2.9233e+06  5.87e-03  3.42e-03  3.58e-13  3.18e+00  1.16e+02  1.11e-01  
 52  +2.9406e+06  +2.9236e+06  5.81e-03  3.39e-03  3.86e-13  3.15e+00  1.14e+02  7.44e-02  
 53  +2.9407e+06  +2.9240e+06  5.73e-03  3.34e-03  3.97e-13  3.02e+00  1.12e+02  1.64e-01  
 54  +2.9416e+06  +2.9264e+06  5.19e-03  3.03e-03  3.79e-13  2.74e+00  9.93e+01  2.01e-01  
 55  +2.9426e+06  +2.9294e+06  4.50e-03  2.63e-03  3.75e-13  2.54e+00  7.70e+01  5.48e-01  
 56  +2.9435e+06  +2.9316e+06  4.05e-03  2.37e-03  3.44e-13  2.03e+00  7.70e+01  7.13e-03  
 57  +2.9436e+06  +2.9318e+06  4.03e-03  2.36e-03  3.81e-13  2.05e+00  7.51e+01  5.29e-02  
 58  +2.9436e+06  +2.9318e+06  4.03e-03  2.36e-03  4.18e-13  2.05e+00  7.48e+01  2.40e-02  
 59  +2.9439e+06  +2.9324e+06  3.93e-03  2.30e-03  4.49e-13  2.00e+00  7.23e+01  1.23e-01  
 60  +2.9448e+06  +2.9341e+06  3.66e-03  2.14e-03  4.33e-13  1.91e+00  6.44e+01  1.67e-01  
 61  +2.9449e+06  +2.9343e+06  3.62e-03  2.12e-03  4.59e-13  1.88e+00  6.24e+01  2.29e-01  
 62  +2.9454e+06  +2.9353e+06  3.44e-03  2.01e-03  4.56e-13  1.81e+00  5.80e+01  1.09e-01  
 63  +2.9454e+06  +2.9354e+06  3.43e-03  2.01e-03  4.60e-13  1.80e+00  5.80e+01  2.91e-03  
 64  +2.9458e+06  +2.9362e+06  3.28e-03  1.92e-03  4.74e-13  1.66e+00  5.73e+01  8.98e-02  
 65  +2.9470e+06  +2.9390e+06  2.74e-03  1.61e-03  4.26e-13  1.38e+00  4.74e+01  2.23e-01  
 66  +2.9475e+06  +2.9401e+06  2.52e-03  1.48e-03  4.37e-13  1.27e+00  4.33e+01  2.49e-01  
 67  +2.9481e+06  +2.9416e+06  2.23e-03  1.31e-03  4.19e-13  1.17e+00  3.68e+01  3.78e-01  
 68  +2.9484e+06  +2.9421e+06  2.13e-03  1.25e-03  3.93e-13  1.12e+00  3.48e+01  8.69e-02  
 69  +2.9486e+06  +2.9425e+06  2.04e-03  1.20e-03  4.11e-13  1.08e+00  3.33e+01  1.44e-01  
 70  +2.9494e+06  +2.9446e+06  1.65e-03  9.70e-04  3.52e-13  8.88e-01  2.65e+01  4.89e-01  
 71  +2.9496e+06  +2.9448e+06  1.61e-03  9.45e-04  3.59e-13  8.79e-01  2.53e+01  7.92e-02  
 72  +2.9496e+06  +2.9448e+06  1.61e-03  9.46e-04  3.76e-13  8.90e-01  2.50e+01  5.25e-02  
 73  +2.9496e+06  +2.9449e+06  1.59e-03  9.38e-04  3.95e-13  9.31e-01  2.32e+01  1.98e-01  
 74  +2.9497e+06  +2.9450e+06  1.58e-03  9.31e-04  4.01e-13  9.16e-01  2.32e+01  2.92e-03  
 75  +2.9500e+06  +2.9455e+06  1.53e-03  9.00e-04  4.20e-13  8.99e-01  2.18e+01  1.56e-01  
 76  +2.9489e+06  +2.9429e+06  2.03e-03  1.19e-03  5.68e-13  1.61e+00  1.84e+01  5.71e-01  
 77  +2.9497e+06  +2.9440e+06  1.91e-03  1.13e-03  5.50e-13  1.44e+00  1.83e+01  4.62e-02  
 78  +2.9515e+06  +2.9468e+06  1.61e-03  9.50e-04  4.97e-13  1.19e+00  1.54e+01  2.62e-01  
 79  +2.9521e+06  +2.9480e+06  1.38e-03  8.10e-04  4.66e-13  1.01e+00  1.37e+01  5.30e-01  
 80  +2.9525e+06  +2.9486e+06  1.33e-03  7.83e-04  4.30e-13  1.01e+00  1.27e+01  1.48e-01  
 81  +2.9528e+06  +2.9492e+06  1.24e-03  7.30e-04  4.90e-13  9.66e-01  1.16e+01  3.01e-01  
 82  +2.9529e+06  +2.9492e+06  1.23e-03  7.24e-04  4.65e-13  9.55e-01  1.16e+01  2.46e-02  
 83  +2.9536e+06  +2.9505e+06  1.08e-03  6.34e-04  4.27e-13  8.00e-01  1.05e+01  3.32e-01  
 84  +2.9540e+06  +2.9511e+06  9.76e-04  5.75e-04  3.78e-13  7.52e-01  9.45e+00  4.89e-01  
 85  +2.9558e+06  +2.9536e+06  7.38e-04  4.36e-04  3.51e-13  5.76e-01  6.75e+00  4.22e-01  
 86  +2.9559e+06  +2.9538e+06  7.20e-04  4.25e-04  3.70e-13  5.67e-01  6.54e+00  7.68e-02  
 87  +2.9557e+06  +2.9535e+06  7.47e-04  4.41e-04  3.79e-13  6.22e-01  6.50e+00  1.06e-01  
 88  +2.9559e+06  +2.9538e+06  7.17e-04  4.23e-04  3.94e-13  5.73e-01  6.50e+00  8.94e-03  
(CVXPY) Jan 26 03:40:59 AM: Problem status: optimal
(CVXPY) Jan 26 03:40:59 AM: Optimal value: 2.966e+06
(CVXPY) Jan 26 03:40:59 AM: Compilation took 7.774e+00 seconds
(CVXPY) Jan 26 03:40:59 AM: Solver (including time spent in interface) took 4.376e-01 seconds
 89  +2.9573e+06  +2.9557e+06  5.32e-04  3.14e-04  3.17e-13  4.31e-01  4.66e+00  3.90e-01  
 90  +2.9572e+06  +2.9556e+06  5.52e-04  3.26e-04  4.00e-13  4.65e-01  4.66e+00  1.52e-02  
 91  +2.9593e+06  +2.9584e+06  2.92e-04  1.73e-04  2.58e-13  2.64e-01  2.36e+00  6.76e-01  
 92  +2.9580e+06  +2.9566e+06  4.82e-04  2.85e-04  4.78e-13  6.13e-01  2.36e+00  5.55e-02  
 93  +2.9582e+06  +2.9568e+06  4.67e-04  2.76e-04  4.67e-13  5.83e-01  2.35e+00  5.05e-02  
 94  +2.9589e+06  +2.9577e+06  4.15e-04  2.46e-04  4.41e-13  5.38e-01  2.00e+00  2.29e-01  
 95  +2.9610e+06  +2.9603e+06  2.61e-04  1.55e-04  3.30e-13  3.34e-01  1.23e+00  5.23e-01  
 96  +2.9610e+06  +2.9602e+06  2.62e-04  1.55e-04  3.45e-13  3.36e-01  1.23e+00  6.56e-03  
 97  +2.9610e+06  +2.9603e+06  2.55e-04  1.51e-04  3.80e-13  3.42e-01  1.18e+00  1.27e-01  
 98  +2.9610e+06  +2.9603e+06  2.54e-04  1.50e-04  4.03e-13  3.41e-01  1.18e+00  2.01e-02  
 99  +2.9616e+06  +2.9610e+06  2.02e-04  1.20e-04  3.61e-13  3.02e-01  8.85e-01  4.15e-01  
100  +2.9617e+06  +2.9611e+06  1.90e-04  1.13e-04  3.77e-13  3.08e-01  8.01e-01  2.25e-01  
101  +2.9618e+06  +2.9613e+06  1.79e-04  1.06e-04  3.96e-13  3.41e-01  6.38e-01  3.46e-01  
102  +2.9626e+06  +2.9622e+06  1.40e-04  8.29e-05  3.73e-13  2.39e-01  5.57e-01  3.21e-01  
103  +2.9631e+06  +2.9627e+06  1.18e-04  6.97e-05  3.44e-13  2.23e-01  4.25e-01  3.63e-01  
104  +2.9631e+06  +2.9628e+06  1.17e-04  6.94e-05  3.38e-13  2.22e-01  4.24e-01  1.50e-02  
105  +2.9633e+06  +2.9629e+06  1.08e-04  6.39e-05  4.05e-13  2.08e-01  3.89e-01  1.92e-01  
106  +2.9640e+06  +2.9637e+06  7.33e-05  4.35e-05  3.08e-13  1.53e-01  2.51e-01  5.37e-01  
107  +2.9640e+06  +2.9637e+06  7.32e-05  4.34e-05  1.11e-12  1.53e-01  2.51e-01  4.66e-03  
108  +2.9640e+06  +2.9638e+06  7.24e-05  4.29e-05  1.30e-11  1.51e-01  2.49e-01  3.49e-02  
109  +2.9642e+06  +2.9640e+06  5.39e-05  3.20e-05  8.96e-11  1.40e-01  1.81e-01  9.75e-01  
110  +2.9652e+06  +2.9651e+06  1.77e-05  1.05e-05  9.91e-10  4.48e-02  5.79e-02  7.99e-01  
111  +2.9653e+06  +2.9653e+06  1.09e-05  6.46e-06  9.05e-10  2.89e-02  3.46e-02  5.54e-01  
112  +2.9655e+06  +2.9655e+06  4.21e-06  2.50e-06  3.50e-10  1.25e-02  1.33e-02  9.65e-01  
113  +2.9656e+06  +2.9656e+06  2.66e-07  1.58e-07  2.21e-11  7.99e-04  8.38e-04  9.64e-01  
114  +2.9656e+06  +2.9656e+06  2.73e-09  1.62e-09  3.92e-13  8.18e-06  8.59e-06  9.90e-01  
---------------------------------------------------------------------------------------------
Terminated with status = Solved
solve time = 433.486803ms
-------------------------------------------------------------------------------
                                    Summary                                    
-------------------------------------------------------------------------------
