New Terminal Output:
openpyxl    3.1.5

--- Task ---
['Protein Expression Analysis Task', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q86Y38|XYLT1_HUMAN', 'XYLT1', 'XYLT1_HUMAN Xylosyltransferase 1', None, 0.212170642444573, None, 0.0378554517981511, -0.281907394133468, None, -0.105683674376636, None, None, None, None, 1.97294180879783]
['sp|Q5SZL2|CE85L_HUMAN', 'CEP85L', 'CE85L_HUMAN Centrosomal protein of 85 kDa-like', -0.685081792751234, None, None, None, None, None, None, None, None, -0.622727065091935, None, None]
['sp|Q9BQA1|MEP50_HUMAN', 'WDR77', 'MEP50_HUMAN Methylosome protein 50', 0.426465371360195, 0.19490833102906, 0.497937762025217, 0.0813806286673367, 0.813669751217766, 0.505392273418548, 0.164030273750324, -0.0048083027734932, 0.110114821397581, -0.287301307355978, -0.165227726322017, -0.211969129294857]
['sp|Q9C0F1|CEP44_HUMAN', 'CEP44', 'CEP44_HUMAN Centrosomal protein of 44 kDa', -0.620139851866619, -0.17055699138696, 0.300428045770479, -0.984014526709871, -0.301943251717556, 0.644330460354351, 0.172529116922023, -0.961788572240531, -0.725668383998657, -0.480602942729467, -0.153314913372378, 0.292943457309476]
['sp|Q9UH03|SEPT3_HUMAN', 'SEPT3', 'SEPT3_HUMAN Neuronal-specific septin-3', 1.09216484595738, 0.0928275279365269, -0.72563836650662, 0.112104024831764, 0.573765466988115, 1.32149434609128, -0.519590973298624, 1.02022192622427, 0.732436573181503, 0.0666921379746834, -0.896862601258641, -1.76141290373481]
['sp|P04632|CPNS1_HUMAN', 'CAPNS1', 'CPNS1_HUMAN Calpain small subunit 1', -0.0491665241153988, 0.0050773164584876, 0.417465928004427, -0.793394471746547, -0.520984737409105, -0.800538855885115, 0.667889952666118, 0.590916633550307, -0.154900741914646, -0.305567627018973, 0.993165173452696, 0.396675854217667]
['sp|P16402|H13_HUMAN', 'HIST1H1D', 'H13_HUMAN Histone H1.3', 0.760511743441045, 0.647700908175573, 0.264304803967447, 0.399943232229212, -0.0988961762761651, 0.105786822692196, -0.221758993708908, 0.412594955044523, 0.466677603505308, 0.731075240106091, 0.409809488420855, -0.109609798380075]
['sp|P55160|NCKPL_HUMAN', 'NCKAP1L', 'NCKPL_HUMAN Nck-associated protein 1-like', None, None, -0.324998290867006, -0.222481080611533, None, -0.579779866551107, None, 2.28095711374464, None, -2.41642144374541, None, None]
['sp|Q8IYM9|TRI22_HUMAN', 'TRIM22', 'TRI22_HUMAN E3 ubiquitin-protein ligase TRIM22', -1.86305389603376, None, None, 0.105122606165079, 0.450362928129766, -0.733119274999053, 1.75962807566274, 0.388910860536705, -0.441051897858767, -0.368602244932826, None, None]
['sp|Q9BXW6|OSBL1_HUMAN', 'OSBPL1A', 'OSBL1_HUMAN Oxysterol-binding protein-related protein 1', -0.357956182406941, 0.434936562778489, 1.3185160313697, 0.669536834747061, 0.382086849344544, 0.197115525196067, 1.26667330265342, 1.15521632356434, 0.311577864102553, -0.399730914418757, -0.605177215515665, -0.0940101515099611]
['sp|Q5TA45|INT11_HUMAN', 'CPSF3L', 'INT11_HUMAN Integrator complex subunit 11', 0.634859347606652, -0.479586738111798, -0.237765314529254, 0.390082345432138, -0.0502235056434279, -0.343531918890867, 0.14408760271291, 1.85133014584578, -0.137289770548742, -0.156596711815782, 0.117771867618744, -0.252089519064367]
['sp|Q9H0N5|PHS2_HUMAN', 'PCBD2', 'PHS2_HUMAN Pterin-4-alpha-carbinolamine dehydratase 2', -0.597725740926525, -0.355365517933434, -1.55345392056483, -0.112685261118631, 0.144355321762419, 1.11610998599527, 0.585490033456478, -0.456450221063081, 1.24301505204431, 0.197153011101013, 0.323517484331931, 1.46476230191001]
['sp|P40126-2|TYRP2_HUMAN', 'DCT', 'TYRP2_HUMAN Isoform 2 of L-dopachrome tautomerase', None, 2.27597760463353, 2.52525548839622, 0.10828619738301, -0.0440756725820344, None, -1.26633647741919, None, -0.516437368451285, -0.319130943265436, -1.17141905476845, -0.118048065321597]
['sp|O95602|RPA1_HUMAN', 'POLR1A', 'RPA1_HUMAN DNA-directed RNA polymerase I subunit RPA1', 0.382019761196356, 0.227517334565707, 0.0706061758465246, 0.256812832895399, -0.197718370794293, -0.391793672816988, -0.285803349162988, 0.21027560557844, 0.880477262259058, 0.460632817875063, -0.0527733944743304, 0.143024655585563]
['sp|P49593|PPM1F_HUMAN', 'PPM1F', 'PPM1F_HUMAN Protein phosphatase 1F', 0.686435437039736, 0.513050850306588, 0.796673781610853, 1.35785489136763, -0.346976023148763, 0.062252035670924, -0.611803785369283, 0.244351062213383, -0.248459595708, -1.10016735518529, -0.916651177331864, -0.7970828369503]
['sp|Q13586|STIM1_HUMAN', 'STIM1', 'STIM1_HUMAN Stromal interaction molecule 1', -0.471442369281529, -0.294404497792834, -0.686839319397202, -0.513211500192813, -0.172972412237465, 0.0792572174140109, -0.0702411454650544, 0.685142296597374, -0.0897115525525639, -0.657881683319179, -0.0806712527488226, 0.0680898416081142]
['sp|Q96TA2-2|YMEL1_HUMAN', 'YME1L1', 'YMEL1_HUMAN Isoform 2 of ATP-dependent zinc metalloprotease YME1L1', 0.345445119607918, -0.0495147552851582, -0.601202109003972, -0.152330343221561, -0.116072916441821, -0.0826452238336337, -0.180839208494254, -0.678525684512586, -0.280832213150617, -0.139129595078266, -0.008786460355244, -0.174407839427724]
['sp|Q4VC05|BCL7A_HUMAN', 'BCL7A', 'BCL7A_HUMAN B-cell CLL/lymphoma 7 protein family member A', None, None, 0.504930367418457, -0.147951787147614, None, None, -0.223501904514668, 0.937108986324513, None, None, None, None]
['sp|Q9UHF1|EGFL7_HUMAN', 'EGFL7', 'EGFL7_HUMAN Epidermal growth factor-like protein 7', 1.77845586231413, -1.70899160547421, None, None, None, None, 0.553485410832992, 2.84103519430923, -0.296298692766507, None, -0.0734222056547992, -1.43867380660629]
['sp|Q14019|COTL1_HUMAN', 'COTL1', 'COTL1_HUMAN Coactosin-like protein', -1.49969989787137, 0.586885829133539, 0.989933464364556, -1.06925645344203, -1.45219542310879, -0.385511725757921, -1.15923928006448, 1.18639366532512, 0.218006389110232, -0.743174148867786, 0.383439806726426, 0.266637593134453]
