New Terminal Output:
Text:  | Href: https://www.geostat.ge/en
Text: International Organizations | Href: https://www.geostat.ge/en/links/2/International-Organizations
Text: Governmental Organizations | Href: https://www.geostat.ge/en/links/1/Governmental-Organizations
Text: Projects | Href: https://www.geostat.ge/en/projects
Text: Home | Href: https://www.geostat.ge/en
Text: Regional Conference | Href: https://www.geostat.ge/en/modules/categories/587
Text: Participants | Href: https://www.geostat.ge/en/modules/categories/591
Text: Session 1a. 100 Years of Developing the Statistics in Georgia: Achievements and Challenges | Href: 
Text: Go back | Href: #
Text: Facebook | Href: https://www.facebook.com/sharer/sharer.php?u=https://www.geostat.ge/en/modules/categories/604/session-1a-100-years-of-developing-the-statistics-in-georgia-achievements-and-challenges
Text: Linkedin | Href: https://www.linkedin.com/company/national-statistics-office-of-georgia
Text: Print | Href: #
Text: Archive | Href: https://www.geostat.ge/en/news
Text: PDF
																
									23 January 2026
								
								
									Residential Property Price Index - IV quarter of 2025 | Href: https://www.geostat.ge/en/single-news/3654
Text: PDF
																
									20 January 2026
								
								
									Producer Price Index for Industrial Products in Georgia - December 2025 | Href: https://www.geostat.ge/en/single-news/3651
Text: (+995 32) 236 72 10, Hot Line: (+995 32) 260 11 60 | Href: tel:+995322367210
Text: info@geostat.ge | Href: mailto: info@geostat.ge
Text: About Geostat | Href: https://www.geostat.ge/en/modules/categories/189
Text: Management | Href: https://www.geostat.ge/en/modules/categories/303
Text: Organization Chart | Href: https://www.geostat.ge/en/structure
Text: Geostat 100 years | Href: https://www.geostat.ge/en/modules/categories/585
Text: geostat 105 years | Href: https://www.geostat.ge/en/modules/categories/15/geostat-105-years
Text: Online Payments | Href: https://geostat.ge/en/payment
Text: Service and Fees | Href: https://www.geostat.ge/en/page/momsakhureba-tarifebi
Text: Customer Service | Href: https://www.geostat.ge/en/page/customer-service
Text: Terms of Use | Href: https://www.geostat.ge/en/page/monacemta-gamoyenebis-pirobebi
Text: Press releases | Href: https://geostat.ge/en/news
Text: Photo Gallery | Href: https://www.geostat.ge/en/albums
Text: Video Gallery | Href: https://www.geostat.ge/en/video-gallery
Text:  | Href: https://www.facebook.com/geostat.ge/
Text:  | Href: https://twitter.com/Geostat100
Text:  | Href: https://www.youtube.com/user/CensusGe
Text:  | Href: http://circle.ge
