Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 79: (None, None, 71, 36, 6, 3, 6, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 80: (None, None, 72, 36, 5, 6, 6, 2, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 81: (None, None, 73, 37, 6, 3, 2, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 82: (None, None, 74, 37, 5, 5, 5, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 83: (None, None, 75, 38, 2, 3, 2, 6, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 84: (None, None, 76, 38, 5, 2, 6, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 85: (None, None, 77, 39, 4, 5, 2, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 86: (None, None, 78, 39, 2, 4, 6, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 87: (None, None, 79, 40, 6, 3, 2, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 88: (None, None, 80, 40, 4, 5, 2, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 89: (None, None, 81, 41, 3, 1, 3, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 90: (None, None, 82, 41, 2, 3, 4, 6, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 91: (None, None, 83, 42, 1, 6, 6, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 92: (None, None, 84, 42, 2, 3, 6, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 93: (None, None, 85, 43, 6, 5, 5, 3, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 94: (None, None, 86, 43, 5, 6, 3, 4, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 95: (None, None, 87, 44, 3, 4, 4, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 96: (None, None, 88, 44, 1, 3, 2, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 97: (None, None, 89, 45, 2, 6, 6, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 98: (None, None, 90, 45, 5, 2, 6, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 99: (None, None, 91, 46, 4, 6, 4, 5, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 100: (None, None, 92, 46, 6, 3, 1, 1, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 101: (None, None, 93, 47, 1, 4, 5, 6, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 102: (None, None, 94, 47, 2, 5, 1, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 103: (None, None, 95, 48, 4, 5, 6, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 104: (None, None, 96, 48, 5, 3, 3, 6, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 105: (None, None, 97, 49, 5, 6, 4, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 106: (None, None, 98, 49, 6, 5, 2, 4, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 107: (None, None, 99, 50, 4, 1, 1, 2, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 108: (None, None, 100, 50, 3, 3, 1, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 109: (None, None, 101, 51, 4, 1, 5, 6, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 110: (None, None, 102, 51, 2, 2, 6, 2, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 111: (None, None, 103, 52, 3, 6, 3, 3, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 112: (None, None, 104, 52, 5, 4, 6, 5, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 113: (None, None, 105, 53, 4, 3, 2, 3, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 114: (None, None, 106, 53, 3, 2, 6, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 115: (None, None, 107, 54, 4, 3, 2, 2, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 116: (None, None, 108, 54, 4, 3, 4, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 117: (None, None, 109, 55, 6, 3, 3, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 118: (None, None, 110, 55, 4, 2, 5, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 119: (None, None, 111, 56, 1, 5, 4, 5, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 120: (None, None, 112, 56, 3, 6, 6, 6, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 121: (None, None, 113, 57, 4, 3, 3, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 122: (None, None, 114, 57, 1, 5, 6, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 123: (None, None, 115, 58, 3, 6, 4, 2, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 124: (None, None, 116, 58, 1, 5, 6, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 125: (None, None, 117, 59, 1, 5, 3, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 126: (None, None, 118, 59, 1, 2, 5, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 127: (None, None, 119, 60, 2, 4, 5, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 128: (None, None, 120, 60, 3, 5, 6, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 129: (None, None, 121, 61, 4, 5, 1, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 130: (None, None, 122, 61, 3, 5, 6, 1, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 131: (None, None, 123, 62, 1, 1, 6, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 132: (None, None, 124, 62, 5, 3, 2, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 133: (None, None, 125, 63, 1, 2, 4, 3, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 134: (None, None, 126, 63, 3, 2, 6, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 135: (None, None, 127, 64, 1, 6, 6, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 136: (None, None, 128, 64, 5, 1, 1, 5, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 137: (None, None, 129, 65, 3, 4, 5, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 138: (None, None, 130, 65, 4, 5, 4, 3, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 139: (None, None, 131, 66, 5, 1, 4, 3, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 140: (None, None, 132, 66, 1, 2, 3, 3, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 141: (None, None, 133, 67, 1, 5, 4, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 142: (None, None, 134, 67, 4, 5, 6, 5, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 143: (None, None, 135, 68, 2, 2, 4, 4, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 144: (None, None, 136, 68, 1, 3, 2, 1, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 145: (None, None, 137, 69, 5, 4, 6, 6, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 146: (None, None, 138, 69, 5, 2, 2, 3, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 147: (None, None, 139, 70, 2, 6, 6, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 148: (None, None, 140, 70, 1, 2, 3, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 149: (None, None, 141, 71, 3, 6, 1, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 150: (None, None, 142, 71, 1, 1, 5, 3, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 151: (None, None, 143, 72, 2, 5, 5, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 152: (None, None, 144, 72, 6, 4, 1, 1, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 153: (None, None, 145, 73, 3, 3, 2, 5, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 154: (None, None, 146, 73, 4, 5, 2, 2, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 155: (None, None, 147, 74, 4, 5, 1, 3, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 156: (None, None, 148, 74, 3, 4, 1, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 157: (None, None, 149, 75, 1, 3, 1, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 158: (None, None, 150, 75, 1, 5, 5, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 159: (None, None, 151, 76, 2, 1, 1, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 160: (None, None, 152, 76, 4, 4, 1, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 161: (None, None, 153, 77, 3, 5, 1, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 162: (None, None, 154, 77, 5, 1, 5, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 163: (None, None, 155, 78, 3, 6, 3, 2, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 164: (None, None, 156, 78, 1, 5, 3, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 165: (None, None, 157, 79, 6, 1, 6, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 166: (None, None, 158, 79, 3, 5, 1, 1, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 167: (None, None, 159, 80, 2, 5, 5, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 168: (None, None, 160, 80, 5, 2, 3, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 169: (None, None, 161, 81, 1, 5, 4, 5, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 170: (None, None, 162, 81, 4, 6, 4, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 171: (None, None, 163, 82, 2, 2, 1, 5, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 172: (None, None, 164, 82, 6, 6, 2, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 173: (None, None, 165, 83, 3, 6, 4, 1, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 174: (None, None, 166, 83, 4, 1, 1, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 175: (None, None, 167, 84, 6, 4, 5, 6, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 176: (None, None, 168, 84, 4, 1, 5, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 177: (None, None, 169, 85, 6, 4, 1, 1, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 178: (None, None, 170, 85, 3, 2, 6, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 179: (None, None, 171, 86, 3, 1, 4, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 180: (None, None, 172, 86, 3, 1, 1, 2, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 181: (None, None, 173, 87, 2, 2, 5, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 182: (None, None, 174, 87, 2, 1, 2, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 183: (None, None, 175, 88, 5, 6, 6, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 184: (None, None, 176, 88, 6, 3, 3, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 185: (None, None, 177, 89, 4, 3, 1, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 186: (None, None, 178, 89, 6, 4, 6, 4, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 187: (None, None, 179, 90, 5, 3, 1, 1, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 188: (None, None, 180, 90, 4, 3, 2, 6, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 189: (None, None, 181, 91, 3, 1, 3, 5, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 190: (None, None, 182, 91, 3, 5, 4, 5, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 191: (None, None, 183, 92, 3, 2, 4, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 192: (None, None, 184, 92, 2, 3, 5, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 193: (None, None, 185, 93, 2, 1, 6, 6, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 194: (None, None, 186, 93, 4, 2, 5, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 195: (None, None, 187, 94, 1, 4, 6, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 196: (None, None, 188, 94, 3, 3, 4, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 197: (None, None, 189, 95, 6, 2, 5, 4, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 198: (None, None, 190, 95, 6, 2, 5, 1, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 199: (None, None, 191, 96, 2, 3, 3, 1, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 200: (None, None, 192, 96, 5, 6, 5, 4, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 201: (None, None, 193, 97, 1, 6, 5, 1, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 202: (None, None, 194, 97, 2, 6, 2, 4, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 203: (None, None, 195, 98, 2, 5, 3, 3, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 204: (None, None, 196, 98, 3, 5, 6, 2, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 205: (None, None, 197, 99, 4, 3, 4, 5, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 206: (None, None, 198, 99, 1, 1, 4, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 207: (None, None, 199, 100, 5, 1, 3, 5, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 208: (None, None, 200, 100, 4, 1, 6, 1, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 209: (None, None, 201, 101, 4, 3, 6, 5, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 210: (None, None, 202, 101, 4, 4, 5, 4, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 211: (None, None, 203, 102, 3, 2, 4, 6, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 212: (None, None, 204, 102, 5, 3, 6, 1, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 213: (None, None, 205, 103, 5, 5, 4, 4, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 214: (None, None, 206, 103, 3, 5, 2, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 215: (None, None, 207, 104, 4, 6, 6, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 216: (None, None, 208, 104, 1, 5, 4, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 217: (None, None, 209, 105, 3, 4, 3, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 218: (None, None, 210, 105, 1, 6, 1, 4, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 219: (None, None, 211, 106, 6, 3, 4, 3, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 220: (None, None, 212, 106, 6, 3, 4, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 221: (None, None, 213, 107, 3, 6, 4, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 222: (None, None, 214, 107, 5, 1, 1, 4, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 223: (None, None, 215, 108, 5, 4, 3, 2, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 224: (None, None, 216, 108, 2, 3, 3, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 225: (None, None, 217, 109, 1, 4, 4, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 226: (None, None, 218, 109, 2, 6, 4, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 227: (None, None, 219, 110, 4, 4, 4, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 228: (None, None, 220, 110, 4, 2, 1, 1, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 229: (None, None, 221, 111, 1, 4, 4, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 230: (None, None, 222, 111, 3, 2, 3, 1, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 231: (None, None, 223, 112, 3, 6, 3, 4, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 232: (None, None, 224, 112, 3, 5, 6, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 233: (None, None, 225, 113, 3, 5, 4, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 234: (None, None, 226, 113, 6, 3, 2, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 235: (None, None, 227, 114, 4, 3, 1, 5, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 236: (None, None, 228, 114, 3, 6, 6, 6, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 237: (None, None, 229, 115, 4, 5, 4, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 238: (None, None, 230, 115, 4, 6, 4, 2, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 239: (None, None, 231, 116, 5, 5, 4, 3, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 240: (None, None, 232, 116, 6, 3, 5, 6, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 241: (None, None, 233, 117, 4, 5, 4, 2, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 242: (None, None, 234, 117, 5, 6, 1, 6, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
