New Terminal Output:
Map: (44, 26)
(56, 'TERRAIN_COAST')
(57, 'TERRAIN_COAST')
(58, 'TERRAIN_COAST')
(59, 'TERRAIN_COAST')
(60, 'TERRAIN_COAST')
(61, 'TERRAIN_OCEAN')
(62, 'TERRAIN_OCEAN')
(63, 'TERRAIN_OCEAN')
(64, 'TERRAIN_OCEAN')
(65, 'TERRAIN_OCEAN')
(66, 'TERRAIN_OCEAN')
(67, 'TERRAIN_OCEAN')
(68, 'TERRAIN_OCEAN')
(69, 'TERRAIN_OCEAN')
(70, 'TERRAIN_OCEAN')
(71, 'TERRAIN_OCEAN')
(72, 'TERRAIN_OCEAN')
(73, 'TERRAIN_OCEAN')
(74, 'TERRAIN_OCEAN')
(75, 'TERRAIN_OCEAN')
(76, 'TERRAIN_OCEAN')
(77, 'TERRAIN_OCEAN')
(78, 'TERRAIN_OCEAN')
(79, 'TERRAIN_OCEAN')
(80, 'TERRAIN_OCEAN')
(81, 'TERRAIN_OCEAN')
(82, 'TERRAIN_OCEAN')
(83, 'TERRAIN_OCEAN')
(84, 'TERRAIN_OCEAN')
(85, 'TERRAIN_OCEAN')
(86, 'TERRAIN_OCEAN')
(87, 'TERRAIN_OCEAN')
(88, 'TERRAIN_OCEAN')
(89, 'TERRAIN_OCEAN')
(90, 'TERRAIN_OCEAN')
(91, 'TERRAIN_COAST')
(92, 'TERRAIN_COAST')
(93, 'TERRAIN_OCEAN')
(94, 'TERRAIN_OCEAN')
(95, 'TERRAIN_OCEAN')
(96, 'TERRAIN_COAST')
(97, 'TERRAIN_COAST')
(98, 'TERRAIN_OCEAN')
(99, 'TERRAIN_OCEAN')
(100, 'TERRAIN_OCEAN')
(101, 'TERRAIN_COAST')
(102, 'TERRAIN_COAST')
(103, 'TERRAIN_COAST')
(104, 'TERRAIN_COAST')
(105, 'TERRAIN_OCEAN')
(106, 'TERRAIN_OCEAN')
(107, 'TERRAIN_OCEAN')
(108, 'TERRAIN_OCEAN')
(109, 'TERRAIN_OCEAN')
(110, 'TERRAIN_OCEAN')
(111, 'TERRAIN_OCEAN')
(112, 'TERRAIN_OCEAN')
(113, 'TERRAIN_OCEAN')
(114, 'TERRAIN_OCEAN')
(115, 'TERRAIN_OCEAN')
(116, 'TERRAIN_OCEAN')
(117, 'TERRAIN_OCEAN')
(118, 'TERRAIN_OCEAN')
(119, 'TERRAIN_OCEAN')
(120, 'TERRAIN_OCEAN')
(121, 'TERRAIN_OCEAN')
(122, 'TERRAIN_COAST')
(123, 'TERRAIN_COAST')
(124, 'TERRAIN_OCEAN')
(125, 'TERRAIN_OCEAN')
(126, 'TERRAIN_OCEAN')
(127, 'TERRAIN_OCEAN')
(128, 'TERRAIN_OCEAN')
(129, 'TERRAIN_OCEAN')
(130, 'TERRAIN_OCEAN')
(131, 'TERRAIN_OCEAN')
(132, 'TERRAIN_OCEAN')
(133, 'TERRAIN_OCEAN')
(134, 'TERRAIN_OCEAN')
(135, 'TERRAIN_COAST')
(136, 'TERRAIN_OCEAN')
(137, 'TERRAIN_OCEAN')
(138, 'TERRAIN_OCEAN')
(139, 'TERRAIN_OCEAN')
(140, 'TERRAIN_COAST')
(141, 'TERRAIN_OCEAN')
(142, 'TERRAIN_OCEAN')
(143, 'TERRAIN_OCEAN')
(144, 'TERRAIN_OCEAN')
(145, 'TERRAIN_COAST')
(146, 'TERRAIN_COAST')
(147, 'TERRAIN_COAST')
(148, 'TERRAIN_OCEAN')
(149, 'TERRAIN_OCEAN')
(150, 'TERRAIN_OCEAN')
(151, 'TERRAIN_OCEAN')
(152, 'TERRAIN_OCEAN')
(153, 'TERRAIN_OCEAN')
(154, 'TERRAIN_OCEAN')
(155, 'TERRAIN_OCEAN')
(156, 'TERRAIN_OCEAN')
(157, 'TERRAIN_OCEAN')
(158, 'TERRAIN_OCEAN')
(159, 'TERRAIN_OCEAN')
(160, 'TERRAIN_OCEAN')
(161, 'TERRAIN_OCEAN')
(162, 'TERRAIN_COAST')
(163, 'TERRAIN_COAST')
(164, 'TERRAIN_OCEAN')
(165, 'TERRAIN_OCEAN')
(166, 'TERRAIN_COAST')
(167, 'TERRAIN_COAST')
(168, 'TERRAIN_OCEAN')
(169, 'TERRAIN_OCEAN')
(170, 'TERRAIN_OCEAN')
(171, 'TERRAIN_OCEAN')
(172, 'TERRAIN_OCEAN')
(173, 'TERRAIN_OCEAN')
(174, 'TERRAIN_OCEAN')
(175, 'TERRAIN_OCEAN')
(176, 'TERRAIN_OCEAN')
(177, 'TERRAIN_OCEAN')
(178, 'TERRAIN_OCEAN')
(179, 'TERRAIN_OCEAN')
(180, 'TERRAIN_OCEAN')
(181, 'TERRAIN_OCEAN')
(182, 'TERRAIN_OCEAN')
(183, 'TERRAIN_OCEAN')
(184, 'TERRAIN_OCEAN')
(185, 'TERRAIN_OCEAN')
(186, 'TERRAIN_OCEAN')
(187, 'TERRAIN_OCEAN')
(188, 'TERRAIN_OCEAN')
(189, 'TERRAIN_OCEAN')
(190, 'TERRAIN_OCEAN')
(191, 'TERRAIN_OCEAN')
(192, 'TERRAIN_OCEAN')
(193, 'TERRAIN_COAST')
(194, 'TERRAIN_OCEAN')
(195, 'TERRAIN_OCEAN')
(196, 'TERRAIN_OCEAN')
(197, 'TERRAIN_OCEAN')
(198, 'TERRAIN_OCEAN')
(199, 'TERRAIN_OCEAN')
(200, 'TERRAIN_OCEAN')
(201, 'TERRAIN_OCEAN')
(202, 'TERRAIN_OCEAN')
(203, 'TERRAIN_OCEAN')
(204, 'TERRAIN_COAST')
(205, 'TERRAIN_COAST')
(206, 'TERRAIN_COAST')
(207, 'TERRAIN_COAST')
(208, 'TERRAIN_COAST')
(209, 'TERRAIN_COAST')
(210, 'TERRAIN_COAST')
(211, 'TERRAIN_COAST')
(212, 'TERRAIN_COAST')
(213, 'TERRAIN_OCEAN')
(214, 'TERRAIN_OCEAN')
(215, 'TERRAIN_OCEAN')
(216, 'TERRAIN_OCEAN')
(217, 'TERRAIN_OCEAN')
(218, 'TERRAIN_OCEAN')
(219, 'TERRAIN_OCEAN')
(220, 'TERRAIN_OCEAN')
(221, 'TERRAIN_OCEAN')
(222, 'TERRAIN_OCEAN')
(223, 'TERRAIN_OCEAN')
(224, 'TERRAIN_OCEAN')
(225, 'TERRAIN_OCEAN')
(226, 'TERRAIN_OCEAN')
(227, 'TERRAIN_OCEAN')
(228, 'TERRAIN_OCEAN')
(229, 'TERRAIN_OCEAN')
(230, 'TERRAIN_OCEAN')
(231, 'TERRAIN_OCEAN')
(232, 'TERRAIN_OCEAN')
(233, 'TERRAIN_OCEAN')
(234, 'TERRAIN_OCEAN')
(235, 'TERRAIN_OCEAN')
(236, 'TERRAIN_OCEAN')
(237, 'TERRAIN_OCEAN')
(238, 'TERRAIN_OCEAN')
(239, 'TERRAIN_OCEAN')
(240, 'TERRAIN_OCEAN')
(241, 'TERRAIN_OCEAN')
(242, 'TERRAIN_OCEAN')
(243, 'TERRAIN_OCEAN')
(244, 'TERRAIN_OCEAN')
(245, 'TERRAIN_OCEAN')
(246, 'TERRAIN_OCEAN')
(247, 'TERRAIN_OCEAN')
(248, 'TERRAIN_OCEAN')
(249, 'TERRAIN_COAST')
(250, 'TERRAIN_OCEAN')
(251, 'TERRAIN_OCEAN')
(252, 'TERRAIN_OCEAN')
(253, 'TERRAIN_OCEAN')
(254, 'TERRAIN_OCEAN')
(255, 'TERRAIN_OCEAN')
(256, 'TERRAIN_OCEAN')
(257, 'TERRAIN_OCEAN')
(258, 'TERRAIN_COAST')
(259, 'TERRAIN_OCEAN')
(260, 'TERRAIN_OCEAN')
(261, 'TERRAIN_OCEAN')
(262, 'TERRAIN_OCEAN')
(263, 'TERRAIN_OCEAN')
(264, 'TERRAIN_OCEAN')
(265, 'TERRAIN_OCEAN')
(266, 'TERRAIN_OCEAN')
(267, 'TERRAIN_OCEAN')
(268, 'TERRAIN_OCEAN')
(269, 'TERRAIN_OCEAN')
(270, 'TERRAIN_OCEAN')
(271, 'TERRAIN_OCEAN')
(272, 'TERRAIN_OCEAN')
(273, 'TERRAIN_OCEAN')
(274, 'TERRAIN_OCEAN')
(275, 'TERRAIN_OCEAN')
(276, 'TERRAIN_OCEAN')
(277, 'TERRAIN_OCEAN')
(278, 'TERRAIN_OCEAN')
(279, 'TERRAIN_OCEAN')
(280, 'TERRAIN_OCEAN')
(281, 'TERRAIN_OCEAN')
(282, 'TERRAIN_OCEAN')
(283, 'TERRAIN_OCEAN')
(284, 'TERRAIN_OCEAN')
(285, 'TERRAIN_OCEAN')
(286, 'TERRAIN_OCEAN')
(287, 'TERRAIN_OCEAN')
(288, 'TERRAIN_OCEAN')
(289, 'TERRAIN_OCEAN')
(290, 'TERRAIN_OCEAN')
(291, 'TERRAIN_OCEAN')
(292, 'TERRAIN_OCEAN')
(293, 'TERRAIN_OCEAN')
(294, 'TERRAIN_OCEAN')
(295, 'TERRAIN_OCEAN')
(296, 'TERRAIN_OCEAN')
(297, 'TERRAIN_OCEAN')
(298, 'TERRAIN_OCEAN')
(299, 'TERRAIN_OCEAN')
(300, 'TERRAIN_OCEAN')
(301, 'TERRAIN_OCEAN')
(302, 'TERRAIN_OCEAN')
(303, 'TERRAIN_OCEAN')
(304, 'TERRAIN_OCEAN')
(305, 'TERRAIN_OCEAN')
(306, 'TERRAIN_OCEAN')
(307, 'TERRAIN_OCEAN')
(308, 'TERRAIN_OCEAN')
(309, 'TERRAIN_OCEAN')
(310, 'TERRAIN_OCEAN')
(311, 'TERRAIN_OCEAN')
(312, 'TERRAIN_OCEAN')
(313, 'TERRAIN_OCEAN')
(314, 'TERRAIN_OCEAN')
(315, 'TERRAIN_OCEAN')
(316, 'TERRAIN_OCEAN')
(317, 'TERRAIN_OCEAN')
(318, 'TERRAIN_OCEAN')
(319, 'TERRAIN_OCEAN')
(320, 'TERRAIN_OCEAN')
(321, 'TERRAIN_OCEAN')
(322, 'TERRAIN_OCEAN')
(323, 'TERRAIN_OCEAN')
(324, 'TERRAIN_OCEAN')
(325, 'TERRAIN_OCEAN')
(326, 'TERRAIN_OCEAN')
(327, 'TERRAIN_OCEAN')
(328, 'TERRAIN_OCEAN')
(329, 'TERRAIN_OCEAN')
(330, 'TERRAIN_OCEAN')
(331, 'TERRAIN_OCEAN')
(332, 'TERRAIN_OCEAN')
(333, 'TERRAIN_OCEAN')
(334, 'TERRAIN_OCEAN')
(335, 'TERRAIN_OCEAN')
(336, 'TERRAIN_OCEAN')
(337, 'TERRAIN_OCEAN')
(338, 'TERRAIN_OCEAN')
(339, 'TERRAIN_OCEAN')
(340, 'TERRAIN_OCEAN')
(341, 'TERRAIN_OCEAN')
(342, 'TERRAIN_OCEAN')
(343, 'TERRAIN_OCEAN')
(344, 'TERRAIN_OCEAN')
(345, 'TERRAIN_OCEAN')
(346, 'TERRAIN_OCEAN')
(347, 'TERRAIN_OCEAN')
(348, 'TERRAIN_OCEAN')
(349, 'TERRAIN_OCEAN')
(350, 'TERRAIN_OCEAN')
(351, 'TERRAIN_OCEAN')
(352, 'TERRAIN_OCEAN')
(353, 'TERRAIN_OCEAN')
(354, 'TERRAIN_OCEAN')
(355, 'TERRAIN_OCEAN')
(356, 'TERRAIN_OCEAN')
(357, 'TERRAIN_OCEAN')
(358, 'TERRAIN_OCEAN')
(359, 'TERRAIN_OCEAN')
(360, 'TERRAIN_OCEAN')
(361, 'TERRAIN_OCEAN')
(362, 'TERRAIN_OCEAN')
(363, 'TERRAIN_OCEAN')
(364, 'TERRAIN_OCEAN')
(365, 'TERRAIN_OCEAN')
(366, 'TERRAIN_OCEAN')
(367, 'TERRAIN_OCEAN')
(368, 'TERRAIN_OCEAN')
(369, 'TERRAIN_OCEAN')
(370, 'TERRAIN_OCEAN')
(371, 'TERRAIN_OCEAN')
(372, 'TERRAIN_OCEAN')
(373, 'TERRAIN_OCEAN')
(374, 'TERRAIN_OCEAN')
(375, 'TERRAIN_OCEAN')
(376, 'TERRAIN_OCEAN')
(377, 'TERRAIN_OCEAN')
(378, 'TERRAIN_OCEAN')
(379, 'TERRAIN_OCEAN')
(380, 'TERRAIN_OCEAN')
(381, 'TERRAIN_OCEAN')
(382, 'TERRAIN_OCEAN')
(383, 'TERRAIN_OCEAN')
(384, 'TERRAIN_OCEAN')
(385, 'TERRAIN_OCEAN')
(386, 'TERRAIN_OCEAN')
(387, 'TERRAIN_OCEAN')
(388, 'TERRAIN_OCEAN')
(389, 'TERRAIN_OCEAN')
(390, 'TERRAIN_OCEAN')
(391, 'TERRAIN_OCEAN')
(392, 'TERRAIN_OCEAN')
(393, 'TERRAIN_OCEAN')
(394, 'TERRAIN_OCEAN')
(395, 'TERRAIN_OCEAN')
(396, 'TERRAIN_OCEAN')
(397, 'TERRAIN_OCEAN')
(398, 'TERRAIN_OCEAN')
(399, 'TERRAIN_OCEAN')
(400, 'TERRAIN_OCEAN')
(401, 'TERRAIN_OCEAN')
(402, 'TERRAIN_OCEAN')
(403, 'TERRAIN_OCEAN')
(404, 'TERRAIN_OCEAN')
(405, 'TERRAIN_OCEAN')
(406, 'TERRAIN_OCEAN')
(407, 'TERRAIN_OCEAN')
(408, 'TERRAIN_OCEAN')
(409, 'TERRAIN_OCEAN')
(410, 'TERRAIN_OCEAN')
(411, 'TERRAIN_OCEAN')
(412, 'TERRAIN_OCEAN')
(413, 'TERRAIN_OCEAN')
(414, 'TERRAIN_OCEAN')
(415, 'TERRAIN_OCEAN')
(416, 'TERRAIN_OCEAN')
(417, 'TERRAIN_OCEAN')
(418, 'TERRAIN_OCEAN')
(419, 'TERRAIN_OCEAN')
(420, 'TERRAIN_OCEAN')
(421, 'TERRAIN_OCEAN')
(422, 'TERRAIN_OCEAN')
(423, 'TERRAIN_OCEAN')
(424, 'TERRAIN_OCEAN')
(425, 'TERRAIN_OCEAN')
(426, 'TERRAIN_OCEAN')
(427, 'TERRAIN_OCEAN')
(428, 'TERRAIN_OCEAN')
(429, 'TERRAIN_OCEAN')
(430, 'TERRAIN_OCEAN')
(431, 'TERRAIN_OCEAN')
(432, 'TERRAIN_OCEAN')
(433, 'TERRAIN_OCEAN')
(434, 'TERRAIN_OCEAN')
(435, 'TERRAIN_OCEAN')
(436, 'TERRAIN_OCEAN')
(437, 'TERRAIN_OCEAN')
(438, 'TERRAIN_OCEAN')
(439, 'TERRAIN_OCEAN')
(440, 'TERRAIN_OCEAN')
(441, 'TERRAIN_OCEAN')
(442, 'TERRAIN_OCEAN')
(443, 'TERRAIN_OCEAN')
(444, 'TERRAIN_OCEAN')
(445, 'TERRAIN_OCEAN')
(446, 'TERRAIN_OCEAN')
(447, 'TERRAIN_OCEAN')
(448, 'TERRAIN_OCEAN')
(449, 'TERRAIN_OCEAN')
(450, 'TERRAIN_OCEAN')
(451, 'TERRAIN_OCEAN')
(452, 'TERRAIN_OCEAN')
(453, 'TERRAIN_OCEAN')
(454, 'TERRAIN_OCEAN')
(455, 'TERRAIN_OCEAN')
(456, 'TERRAIN_OCEAN')
(457, 'TERRAIN_OCEAN')
(458, 'TERRAIN_OCEAN')
(459, 'TERRAIN_OCEAN')
(460, 'TERRAIN_OCEAN')
(461, 'TERRAIN_OCEAN')
(462, 'TERRAIN_COAST')
(463, 'TERRAIN_COAST')
(464, 'TERRAIN_COAST')
(465, 'TERRAIN_COAST')
(466, 'TERRAIN_COAST')
(467, 'TERRAIN_OCEAN')
(468, 'TERRAIN_OCEAN')
(469, 'TERRAIN_OCEAN')
(470, 'TERRAIN_OCEAN')
(471, 'TERRAIN_OCEAN')
(472, 'TERRAIN_OCEAN')
(473, 'TERRAIN_OCEAN')
(474, 'TERRAIN_OCEAN')
(475, 'TERRAIN_OCEAN')
(476, 'TERRAIN_OCEAN')
(477, 'TERRAIN_OCEAN')
(478, 'TERRAIN_OCEAN')
(479, 'TERRAIN_OCEAN')
(480, 'TERRAIN_OCEAN')
(481, 'TERRAIN_OCEAN')
(482, 'TERRAIN_OCEAN')
(483, 'TERRAIN_OCEAN')
(484, 'TERRAIN_OCEAN')
(485, 'TERRAIN_OCEAN')
(486, 'TERRAIN_OCEAN')
(487, 'TERRAIN_OCEAN')
(488, 'TERRAIN_OCEAN')
(489, 'TERRAIN_OCEAN')
(490, 'TERRAIN_OCEAN')
(491, 'TERRAIN_OCEAN')
(492, 'TERRAIN_OCEAN')
(493, 'TERRAIN_OCEAN')
(494, 'TERRAIN_OCEAN')
(495, 'TERRAIN_OCEAN')
(496, 'TERRAIN_OCEAN')
(497, 'TERRAIN_OCEAN')
(498, 'TERRAIN_OCEAN')
(499, 'TERRAIN_OCEAN')
(500, 'TERRAIN_OCEAN')
(501, 'TERRAIN_OCEAN')
(502, 'TERRAIN_OCEAN')
(503, 'TERRAIN_OCEAN')
(504, 'TERRAIN_OCEAN')
(505, 'TERRAIN_COAST')
(506, 'TERRAIN_GRASS_MOUNTAIN')
(507, 'TERRAIN_GRASS')
(508, 'TERRAIN_GRASS')
(509, 'TERRAIN_GRASS')
(510, 'TERRAIN_COAST')
(511, 'TERRAIN_OCEAN')
(512, 'TERRAIN_OCEAN')
(513, 'TERRAIN_OCEAN')
(514, 'TERRAIN_OCEAN')
(515, 'TERRAIN_OCEAN')
(516, 'TERRAIN_OCEAN')
(517, 'TERRAIN_OCEAN')
(518, 'TERRAIN_OCEAN')
(519, 'TERRAIN_OCEAN')
(520, 'TERRAIN_OCEAN')
(521, 'TERRAIN_OCEAN')
(522, 'TERRAIN_OCEAN')
(523, 'TERRAIN_OCEAN')
(524, 'TERRAIN_OCEAN')
(525, 'TERRAIN_OCEAN')
(526, 'TERRAIN_OCEAN')
(527, 'TERRAIN_OCEAN')
(528, 'TERRAIN_OCEAN')
(529, 'TERRAIN_OCEAN')
(530, 'TERRAIN_OCEAN')
(531, 'TERRAIN_OCEAN')
(532, 'TERRAIN_OCEAN')
(533, 'TERRAIN_OCEAN')
(534, 'TERRAIN_OCEAN')
(535, 'TERRAIN_OCEAN')
(536, 'TERRAIN_OCEAN')
(537, 'TERRAIN_OCEAN')
(538, 'TERRAIN_OCEAN')
(539, 'TERRAIN_OCEAN')
(540, 'TERRAIN_OCEAN')
(541, 'TERRAIN_OCEAN')
(542, 'TERRAIN_OCEAN')
(543, 'TERRAIN_OCEAN')
(544, 'TERRAIN_OCEAN')
(545, 'TERRAIN_OCEAN')
(546, 'TERRAIN_OCEAN')
(547, 'TERRAIN_OCEAN')
(548, 'TERRAIN_COAST')
(549, 'TERRAIN_COAST')
(550, 'TERRAIN_GRASS')
(551, 'TERRAIN_GRASS')
(552, 'TERRAIN_GRASS')
(553, 'TERRAIN_GRASS')
(554, 'TERRAIN_GRASS')
(555, 'TERRAIN_COAST')
(556, 'TERRAIN_OCEAN')
(557, 'TERRAIN_OCEAN')
(558, 'TERRAIN_OCEAN')
(559, 'TERRAIN_OCEAN')
(560, 'TERRAIN_OCEAN')
(561, 'TERRAIN_OCEAN')
(562, 'TERRAIN_OCEAN')
(563, 'TERRAIN_OCEAN')
(564, 'TERRAIN_OCEAN')
(565, 'TERRAIN_OCEAN')
(566, 'TERRAIN_OCEAN')
(567, 'TERRAIN_OCEAN')
(568, 'TERRAIN_OCEAN')
(569, 'TERRAIN_OCEAN')
(570, 'TERRAIN_OCEAN')
(571, 'TERRAIN_OCEAN')
(572, 'TERRAIN_OCEAN')
(573, 'TERRAIN_OCEAN')
(574, 'TERRAIN_OCEAN')
(575, 'TERRAIN_OCEAN')
(576, 'TERRAIN_OCEAN')
(577, 'TERRAIN_OCEAN')
(578, 'TERRAIN_OCEAN')
(579, 'TERRAIN_OCEAN')
(580, 'TERRAIN_OCEAN')
(581, 'TERRAIN_OCEAN')
(582, 'TERRAIN_OCEAN')
(583, 'TERRAIN_OCEAN')
(584, 'TERRAIN_OCEAN')
(585, 'TERRAIN_OCEAN')
(586, 'TERRAIN_OCEAN')
(587, 'TERRAIN_OCEAN')
(588, 'TERRAIN_OCEAN')
(589, 'TERRAIN_OCEAN')
(590, 'TERRAIN_OCEAN')
(591, 'TERRAIN_COAST')
(592, 'TERRAIN_GRASS')
(593, 'TERRAIN_GRASS')
(594, 'TERRAIN_GRASS')
(595, 'TERRAIN_GRASS')
(596, 'TERRAIN_GRASS')
(597, 'TERRAIN_GRASS')
(598, 'TERRAIN_GRASS')
(599, 'TERRAIN_COAST')
(600, 'TERRAIN_OCEAN')
(601, 'TERRAIN_OCEAN')
(602, 'TERRAIN_OCEAN')
(603, 'TERRAIN_OCEAN')
(604, 'TERRAIN_OCEAN')
(605, 'TERRAIN_OCEAN')
(606, 'TERRAIN_OCEAN')
(607, 'TERRAIN_OCEAN')
(608, 'TERRAIN_OCEAN')
(609, 'TERRAIN_OCEAN')
(610, 'TERRAIN_OCEAN')
(611, 'TERRAIN_OCEAN')
(612, 'TERRAIN_OCEAN')
(613, 'TERRAIN_OCEAN')
(614, 'TERRAIN_OCEAN')
(615, 'TERRAIN_OCEAN')
(616, 'TERRAIN_OCEAN')
(617, 'TERRAIN_OCEAN')
(618, 'TERRAIN_OCEAN')
(619, 'TERRAIN_OCEAN')
(620, 'TERRAIN_OCEAN')
(621, 'TERRAIN_OCEAN')
(622, 'TERRAIN_OCEAN')
(623, 'TERRAIN_OCEAN')
(624, 'TERRAIN_OCEAN')
(625, 'TERRAIN_OCEAN')
(626, 'TERRAIN_OCEAN')
(627, 'TERRAIN_OCEAN')
(628, 'TERRAIN_OCEAN')
(629, 'TERRAIN_OCEAN')
(630, 'TERRAIN_OCEAN')
(631, 'TERRAIN_OCEAN')
(632, 'TERRAIN_OCEAN')
(633, 'TERRAIN_OCEAN')
(634, 'TERRAIN_OCEAN')
(635, 'TERRAIN_OCEAN')
(636, 'TERRAIN_COAST')
(637, 'TERRAIN_GRASS')
(638, 'TERRAIN_GRASS')
(639, 'TERRAIN_PLAINS')
(640, 'TERRAIN_GRASS')
(641, 'TERRAIN_GRASS')
(642, 'TERRAIN_GRASS')
(643, 'TERRAIN_GRASS')
(644, 'TERRAIN_COAST')
(645, 'TERRAIN_OCEAN')
(646, 'TERRAIN_OCEAN')
(647, 'TERRAIN_OCEAN')
(648, 'TERRAIN_OCEAN')
(649, 'TERRAIN_OCEAN')
(650, 'TERRAIN_OCEAN')
(651, 'TERRAIN_OCEAN')
(652, 'TERRAIN_OCEAN')
(653, 'TERRAIN_OCEAN')
(654, 'TERRAIN_OCEAN')
(655, 'TERRAIN_OCEAN')
(656, 'TERRAIN_OCEAN')
(657, 'TERRAIN_OCEAN')
(658, 'TERRAIN_OCEAN')
(659, 'TERRAIN_OCEAN')
(660, 'TERRAIN_OCEAN')
(661, 'TERRAIN_OCEAN')
(662, 'TERRAIN_OCEAN')
(663, 'TERRAIN_OCEAN')
(664, 'TERRAIN_OCEAN')
(665, 'TERRAIN_OCEAN')
(666, 'TERRAIN_OCEAN')
(667, 'TERRAIN_OCEAN')
(668, 'TERRAIN_OCEAN')
(669, 'TERRAIN_OCEAN')
(670, 'TERRAIN_OCEAN')
(671, 'TERRAIN_OCEAN')
(672, 'TERRAIN_OCEAN')
(673, 'TERRAIN_OCEAN')
(674, 'TERRAIN_OCEAN')
(675, 'TERRAIN_OCEAN')
(676, 'TERRAIN_OCEAN')
(677, 'TERRAIN_OCEAN')
(678, 'TERRAIN_OCEAN')
(679, 'TERRAIN_COAST')
(680, 'TERRAIN_GRASS')
(681, 'TERRAIN_GRASS_MOUNTAIN')
(682, 'TERRAIN_GRASS')
(683, 'TERRAIN_PLAINS')
(684, 'TERRAIN_GRASS')
(685, 'TERRAIN_GRASS')
(686, 'TERRAIN_GRASS')
(687, 'TERRAIN_COAST')
(688, 'TERRAIN_OCEAN')
(689, 'TERRAIN_OCEAN')
(690, 'TERRAIN_OCEAN')
(691, 'TERRAIN_OCEAN')
(692, 'TERRAIN_OCEAN')
(693, 'TERRAIN_OCEAN')
(694, 'TERRAIN_OCEAN')
(695, 'TERRAIN_OCEAN')
(696, 'TERRAIN_OCEAN')
(697, 'TERRAIN_OCEAN')
(698, 'TERRAIN_OCEAN')
(699, 'TERRAIN_OCEAN')
(700, 'TERRAIN_OCEAN')
(701, 'TERRAIN_OCEAN')
(702, 'TERRAIN_OCEAN')
(703, 'TERRAIN_OCEAN')
(704, 'TERRAIN_OCEAN')
(705, 'TERRAIN_OCEAN')
(706, 'TERRAIN_OCEAN')
(707, 'TERRAIN_OCEAN')
(708, 'TERRAIN_OCEAN')
(709, 'TERRAIN_OCEAN')
(710, 'TERRAIN_OCEAN')
(711, 'TERRAIN_OCEAN')
(712, 'TERRAIN_OCEAN')
(713, 'TERRAIN_OCEAN')
(714, 'TERRAIN_OCEAN')
(715, 'TERRAIN_OCEAN')
(716, 'TERRAIN_OCEAN')
(717, 'TERRAIN_OCEAN')
(718, 'TERRAIN_OCEAN')
(719, 'TERRAIN_OCEAN')
(720, 'TERRAIN_OCEAN')
(721, 'TERRAIN_OCEAN')
(722, 'TERRAIN_OCEAN')
(723, 'TERRAIN_OCEAN')
(724, 'TERRAIN_COAST')
(725, 'TERRAIN_COAST')
(726, 'TERRAIN_GRASS')
(727, 'TERRAIN_PLAINS')
(728, 'TERRAIN_GRASS')
(729, 'TERRAIN_GRASS')
(730, 'TERRAIN_GRASS')
(731, 'TERRAIN_COAST')
(732, 'TERRAIN_OCEAN')
(733, 'TERRAIN_OCEAN')
(734, 'TERRAIN_OCEAN')
(735, 'TERRAIN_OCEAN')
(736, 'TERRAIN_OCEAN')
(737, 'TERRAIN_OCEAN')
(738, 'TERRAIN_OCEAN')
(739, 'TERRAIN_OCEAN')
(740, 'TERRAIN_OCEAN')
(741, 'TERRAIN_OCEAN')
(742, 'TERRAIN_OCEAN')
