New Terminal Output:
Running optimization with Nelder-Mead...
Initial guess: cd=0.008, sw_factor=0.7, at_factor=0.9
  Testing cd=0.0044, sw_factor=0.7050, at_factor=0.7262... RMSE=4.6204
  Testing cd=0.0030, sw_factor=0.6880, at_factor=0.7030... RMSE=4.5223
  Testing cd=0.0028, sw_factor=0.7213, at_factor=0.7050... RMSE=4.5321
  Testing cd=0.0012, sw_factor=0.6842, at_factor=0.6534... RMSE=5.1017
  Testing cd=0.0048, sw_factor=0.7231, at_factor=0.7389... RMSE=4.6424
  Testing cd=0.0021, sw_factor=0.7006, at_factor=0.7079... RMSE=4.6474
  Testing cd=0.0028, sw_factor=0.7057, at_factor=0.7118... RMSE=4.5435
  Testing cd=0.0038, sw_factor=0.7141, at_factor=0.7227... RMSE=4.5765
  Testing cd=0.0019, sw_factor=0.6960, at_factor=0.6904... RMSE=4.6375
  Testing cd=0.0033, sw_factor=0.7095, at_factor=0.7147... RMSE=4.5434
  Testing cd=0.0033, sw_factor=0.7069, at_factor=0.7033... RMSE=4.5272
  Testing cd=0.0027, sw_factor=0.7013, at_factor=0.6928... RMSE=4.5013
  Testing cd=0.0024, sw_factor=0.6972, at_factor=0.6819... RMSE=4.4883
  Testing cd=0.0031, sw_factor=0.6733, at_factor=0.6871... RMSE=4.5107
  Testing cd=0.0024, sw_factor=0.6655, at_factor=0.6780... RMSE=4.4746
  Testing cd=0.0019, sw_factor=0.6447, at_factor=0.6654... RMSE=4.4995
  Testing cd=0.0022, sw_factor=0.6693, at_factor=0.6618... RMSE=4.4502
  Testing cd=0.0018, sw_factor=0.6599, at_factor=0.6412... RMSE=4.4767
  Testing cd=0.0016, sw_factor=0.6813, at_factor=0.6607... RMSE=4.6756
  Testing cd=0.0027, sw_factor=0.6753, at_factor=0.6805... RMSE=4.4762
  Testing cd=0.0024, sw_factor=0.6429, at_factor=0.6650... RMSE=4.4599
  Testing cd=0.0020, sw_factor=0.6431, at_factor=0.6560... RMSE=4.4629
  Testing cd=0.0020, sw_factor=0.6381, at_factor=0.6438... RMSE=4.4281
  Testing cd=0.0018, sw_factor=0.6244, at_factor=0.6266... RMSE=4.4124
  Testing cd=0.0023, sw_factor=0.6479, at_factor=0.6462... RMSE=4.4309
  Testing cd=0.0018, sw_factor=0.6515, at_factor=0.6248... RMSE=4.4160
  Testing cd=0.0018, sw_factor=0.6133, at_factor=0.6034... RMSE=4.3839
  Testing cd=0.0016, sw_factor=0.5853, at_factor=0.5742... RMSE=4.3717
  Testing cd=0.0012, sw_factor=0.5928, at_factor=0.5708... RMSE=4.4857
  Testing cd=0.0020, sw_factor=0.6342, at_factor=0.6274... RMSE=4.4055
  Testing cd=0.0019, sw_factor=0.5777, at_factor=0.5940... RMSE=4.4137
  Testing cd=0.0019, sw_factor=0.5961, at_factor=0.6017... RMSE=4.3951
  Testing cd=0.0018, sw_factor=0.5860, at_factor=0.5755... RMSE=4.3992
  Testing cd=0.0015, sw_factor=0.5441, at_factor=0.5402... RMSE=4.3687
  Testing cd=0.0015, sw_factor=0.5643, at_factor=0.5685... RMSE=4.3636
  Testing cd=0.0013, sw_factor=0.5535, at_factor=0.5650... RMSE=4.3710
  Testing cd=0.0012, sw_factor=0.5330, at_factor=0.5202... RMSE=4.2693
  Testing cd=0.0012, sw_factor=0.5090, at_factor=0.5118... RMSE=4.2611
  Testing cd=0.0011, sw_factor=0.5268, at_factor=0.5268... RMSE=4.3459
  Testing cd=0.0013, sw_factor=0.5437, at_factor=0.5441... RMSE=4.2915
  Testing cd=0.0014, sw_factor=0.5303, at_factor=0.5239... RMSE=4.3330
  Testing cd=0.0013, sw_factor=0.5294, at_factor=0.5246... RMSE=4.3247
  Testing cd=0.0012, sw_factor=0.5277, at_factor=0.5261... RMSE=4.2929
  Testing cd=0.0012, sw_factor=0.5281, at_factor=0.5257... RMSE=4.2879
  Testing cd=0.0013, sw_factor=0.5335, at_factor=0.5317... RMSE=4.2980
  Testing cd=0.0012, sw_factor=0.5210, at_factor=0.5160... RMSE=4.2734
  Testing cd=0.0012, sw_factor=0.5186, at_factor=0.5188... RMSE=4.2817
  Testing cd=0.0012, sw_factor=0.5263, at_factor=0.5279... RMSE=4.2872
  Testing cd=0.0011, sw_factor=0.5061, at_factor=0.5031... RMSE=4.2643
  Testing cd=0.0011, sw_factor=0.5055, at_factor=0.5019... RMSE=4.2595

Optimization complete!
Best parameters: cd=0.001135, sw_factor=0.505512, at_factor=0.501865
Best RMSE: 4.2595
