New Terminal Output:
id                 name           iban
104   V105           Vendor 105  IBAN000000105
105   V106           Vendor 106  IBAN000000106
106   V107           Vendor 107  IBAN000000107
107   V108           Vendor 108  IBAN000000108
108   V109           Vendor 109  IBAN000000109
109   V110           Vendor 110  IBAN000000110
110   V111           Vendor 111  IBAN000000111
111   V112           Vendor 112  IBAN000000112
112   V113           Vendor 113  IBAN000000113
113   V114           Vendor 114  IBAN000000114
114   V115           Vendor 115  IBAN000000115
115   V116           Vendor 116  IBAN000000116
116   V117           Vendor 117  IBAN000000117
117   V118           Vendor 118  IBAN000000118
118   V119           Vendor 119  IBAN000000119
119   V120           Vendor 120  IBAN000000120
120   V121           Vendor 121  IBAN000000121
121   V122           Vendor 122  IBAN000000122
122   V123           Vendor 123  IBAN000000123
123   V124           Vendor 124  IBAN000000124
124   V125           Vendor 125  IBAN000000125
125   V126           Vendor 126  IBAN000000126
126   V127           Vendor 127  IBAN000000127
127   V128           Vendor 128  IBAN000000128
128   V129           Vendor 129  IBAN000000129
129   V130           Vendor 130  IBAN000000130
130   V131           Vendor 131  IBAN000000131
131   V132           Vendor 132  IBAN000000132
132   V133           Vendor 133  IBAN000000133
133   V134           Vendor 134  IBAN000000134
134   V135           Vendor 135  IBAN000000135
135   V136           Vendor 136  IBAN000000136
136   V137           Vendor 137  IBAN000000137
137   V138           Vendor 138  IBAN000000138
138   V139           Vendor 139  IBAN000000139
139   V140           Vendor 140  IBAN000000140
140   V141           Vendor 141  IBAN000000141
141   V142           Vendor 142  IBAN000000142
142   V143           Vendor 143  IBAN000000143
143   V144           Vendor 144  IBAN000000144
144   V145           Vendor 145  IBAN000000145
145   V146           Vendor 146  IBAN000000146
146   V147           Vendor 147  IBAN000000147
147   V148           Vendor 148  IBAN000000148
148   V149           Vendor 149  IBAN000000149
149   V150           Vendor 150  IBAN000000150
150   V151           Vendor 151  IBAN000000151
151   V152           Vendor 152  IBAN000000152
152   V153           Vendor 153  IBAN000000153
153   V154           Vendor 154  IBAN000000154
154   V155           Vendor 155  IBAN000000155
155   V156           Vendor 156  IBAN000000156
156   V157           Vendor 157  IBAN000000157
157   V158           Vendor 158  IBAN000000158
158   V159           Vendor 159  IBAN000000159
159   V160           Vendor 160  IBAN000000160
160   V161           Vendor 161  IBAN000000161
161   V162           Vendor 162  IBAN000000162
162   V163           Vendor 163  IBAN000000163
163   V164           Vendor 164  IBAN000000164
164   V165           Vendor 165  IBAN000000165
165   V166           Vendor 166  IBAN000000166
166   V167           Vendor 167  IBAN000000167
167   V168           Vendor 168  IBAN000000168
168   V169           Vendor 169  IBAN000000169
169   V170           Vendor 170  IBAN000000170
170   V171           Vendor 171  IBAN000000171
171   V172           Vendor 172  IBAN000000172
172   V173           Vendor 173  IBAN000000173
173   V174           Vendor 174  IBAN000000174
174   V175           Vendor 175  IBAN000000175
175   V176           Vendor 176  IBAN000000176
176   V177           Vendor 177  IBAN000000177
177   V178           Vendor 178  IBAN000000178
178   V179           Vendor 179  IBAN000000179
179   V180           Vendor 180  IBAN000000180
180   V181           Vendor 181  IBAN000000181
181   V182           Vendor 182  IBAN000000182
182   V183           Vendor 183  IBAN000000183
183   V184           Vendor 184  IBAN000000184
184   V185           Vendor 185  IBAN000000185
185   V186           Vendor 186  IBAN000000186
186   V187           Vendor 187  IBAN000000187
187   V188           Vendor 188  IBAN000000188
188   V189           Vendor 189  IBAN000000189
189   V190           Vendor 190  IBAN000000190
190   V191           Vendor 191  IBAN000000191
191   V192           Vendor 192  IBAN000000192
192   V193           Vendor 193  IBAN000000193
193   V194           Vendor 194  IBAN000000194
194   V195           Vendor 195  IBAN000000195
195   V196           Vendor 196  IBAN000000196
196   V197           Vendor 197  IBAN000000197
197   V198           Vendor 198  IBAN000000198
198   V199           Vendor 199  IBAN000000199
199   V200           Vendor 200  IBAN000000200
200   V201           Vendor 201  IBAN000000201
201   V202           Vendor 202  IBAN000000202
202   V203           Vendor 203  IBAN000000203
203   V204           Vendor 204  IBAN000000204
204   V205           Vendor 205  IBAN000000205
205   V206           Vendor 206  IBAN000000206
206   V207           Vendor 207  IBAN000000207
207   V208           Vendor 208  IBAN000000208
208   V209           Vendor 209  IBAN000000209
209   V210           Vendor 210  IBAN000000210
210   V211           Vendor 211  IBAN000000211
211   V212           Vendor 212  IBAN000000212
212   V213           Vendor 213  IBAN000000213
213   V214           Vendor 214  IBAN000000214
214   V215           Vendor 215  IBAN000000215
215   V216           Vendor 216  IBAN000000216
216   V217           Vendor 217  IBAN000000217
217   V218           Vendor 218  IBAN000000218
218   V219           Vendor 219  IBAN000000219
219   V220           Vendor 220  IBAN000000220
220   V221           Vendor 221  IBAN000000221
221   V222           Vendor 222  IBAN000000222
222   V223           Vendor 223  IBAN000000223
223   V224           Vendor 224  IBAN000000224
224   V225           Vendor 225  IBAN000000225
225   V226           Vendor 226  IBAN000000226
226   V227           Vendor 227  IBAN000000227
227   V228           Vendor 228  IBAN000000228
228   V229           Vendor 229  IBAN000000229
229   V230           Vendor 230  IBAN000000230
230   V231           Vendor 231  IBAN000000231
231   V232           Vendor 232  IBAN000000232
232   V233           Vendor 233  IBAN000000233
233   V234           Vendor 234  IBAN000000234
234   V235           Vendor 235  IBAN000000235
235   V236           Vendor 236  IBAN000000236
236   V237           Vendor 237  IBAN000000237
237   V238           Vendor 238  IBAN000000238
238   V239           Vendor 239  IBAN000000239
239   V240           Vendor 240  IBAN000000240
240   V241           Vendor 241  IBAN000000241
241   V242           Vendor 242  IBAN000000242
242   V243           Vendor 243  IBAN000000243
243   V244           Vendor 244  IBAN000000244
244   V245           Vendor 245  IBAN000000245
245   V246           Vendor 246  IBAN000000246
246   V247           Vendor 247  IBAN000000247
247   V248           Vendor 248  IBAN000000248
248   V249           Vendor 249  IBAN000000249
249   V250           Vendor 250  IBAN000000250
250   V251           Vendor 251  IBAN000000251
251   V252           Vendor 252  IBAN000000252
252   V253           Vendor 253  IBAN000000253
253   V254           Vendor 254  IBAN000000254
254   V255           Vendor 255  IBAN000000255
255   V256           Vendor 256  IBAN000000256
256   V257           Vendor 257  IBAN000000257
257   V258           Vendor 258  IBAN000000258
258   V259           Vendor 259  IBAN000000259
259   V260           Vendor 260  IBAN000000260
260   V261           Vendor 261  IBAN000000261
261   V262           Vendor 262  IBAN000000262
262   V263           Vendor 263  IBAN000000263
263   V264           Vendor 264  IBAN000000264
264   V265           Vendor 265  IBAN000000265
265   V266           Vendor 266  IBAN000000266
266   V267           Vendor 267  IBAN000000267
267   V268           Vendor 268  IBAN000000268
268   V269           Vendor 269  IBAN000000269
269   V270           Vendor 270  IBAN000000270
270   V271           Vendor 271  IBAN000000271
271   V272           Vendor 272  IBAN000000272
272   V273           Vendor 273  IBAN000000273
273   V274           Vendor 274  IBAN000000274
274   V275           Vendor 275  IBAN000000275
275   V276           Vendor 276  IBAN000000276
276   V277           Vendor 277  IBAN000000277
277   V278           Vendor 278  IBAN000000278
278   V279           Vendor 279  IBAN000000279
279   V280           Vendor 280  IBAN000000280
280   V281           Vendor 281  IBAN000000281
281   V282           Vendor 282  IBAN000000282
282   V283           Vendor 283  IBAN000000283
283   V284           Vendor 284  IBAN000000284
284   V285           Vendor 285  IBAN000000285
285   V286           Vendor 286  IBAN000000286
286   V287           Vendor 287  IBAN000000287
287   V288           Vendor 288  IBAN000000288
288   V289           Vendor 289  IBAN000000289
289   V290           Vendor 290  IBAN000000290
290   V291           Vendor 291  IBAN000000291
291   V292           Vendor 292  IBAN000000292
292   V293           Vendor 293  IBAN000000293
293   V294           Vendor 294  IBAN000000294
294   V295           Vendor 295  IBAN000000295
295   V296           Vendor 296  IBAN000000296
296   V297           Vendor 297  IBAN000000297
297   V298           Vendor 298  IBAN000000298
298   V299           Vendor 299  IBAN000000299
299   V300           Vendor 300  IBAN000000300
300   V301           Vendor 301  IBAN000000301
301   V302           Vendor 302  IBAN000000302
302   V303           Vendor 303  IBAN000000303
303   V304           Vendor 304  IBAN000000304
304   V305           Vendor 305  IBAN000000305
305   V306           Vendor 306  IBAN000000306
306   V307           Vendor 307  IBAN000000307
307   V308           Vendor 308  IBAN000000308
308   V309           Vendor 309  IBAN000000309
309   V310           Vendor 310  IBAN000000310
310   V311           Vendor 311  IBAN000000311
311   V312           Vendor 312  IBAN000000312
312   V313           Vendor 313  IBAN000000313
313   V314           Vendor 314  IBAN000000314
314   V315           Vendor 315  IBAN000000315
315   V316           Vendor 316  IBAN000000316
316   V317           Vendor 317  IBAN000000317
317   V318           Vendor 318  IBAN000000318
318   V319           Vendor 319  IBAN000000319
319   V320           Vendor 320  IBAN000000320
320   V321           Vendor 321  IBAN000000321
321   V322           Vendor 322  IBAN000000322
322   V323           Vendor 323  IBAN000000323
323   V324           Vendor 324  IBAN000000324
324   V325           Vendor 325  IBAN000000325
325   V326           Vendor 326  IBAN000000326
326   V327           Vendor 327  IBAN000000327
327   V328           Vendor 328  IBAN000000328
328   V329           Vendor 329  IBAN000000329
329   V330           Vendor 330  IBAN000000330
330   V331           Vendor 331  IBAN000000331
331   V332           Vendor 332  IBAN000000332
332   V333           Vendor 333  IBAN000000333
333   V334           Vendor 334  IBAN000000334
334   V335           Vendor 335  IBAN000000335
335   V336           Vendor 336  IBAN000000336
336   V337           Vendor 337  IBAN000000337
337   V338           Vendor 338  IBAN000000338
338   V339           Vendor 339  IBAN000000339
339   V340           Vendor 340  IBAN000000340
340   V341           Vendor 341  IBAN000000341
341   V342           Vendor 342  IBAN000000342
342   V343           Vendor 343  IBAN000000343
343   V344           Vendor 344  IBAN000000344
344   V345           Vendor 345  IBAN000000345
345   V346           Vendor 346  IBAN000000346
346   V347           Vendor 347  IBAN000000347
347   V348           Vendor 348  IBAN000000348
348   V349           Vendor 349  IBAN000000349
349   V350           Vendor 350  IBAN000000350
350   V351           Vendor 351  IBAN000000351
351   V352           Vendor 352  IBAN000000352
352   V353           Vendor 353  IBAN000000353
353   V354           Vendor 354  IBAN000000354
354   V355           Vendor 355  IBAN000000355
355   V356           Vendor 356  IBAN000000356
356   V357           Vendor 357  IBAN000000357
357   V358           Vendor 358  IBAN000000358
358   V359           Vendor 359  IBAN000000359
359   V360           Vendor 360  IBAN000000360
360   V361           Vendor 361  IBAN000000361
361   V362           Vendor 362  IBAN000000362
362   V363           Vendor 363  IBAN000000363
363   V364           Vendor 364  IBAN000000364
364   V365           Vendor 365  IBAN000000365
365   V366           Vendor 366  IBAN000000366
366   V367           Vendor 367  IBAN000000367
367   V368           Vendor 368  IBAN000000368
368   V369           Vendor 369  IBAN000000369
369   V370           Vendor 370  IBAN000000370
370   V371           Vendor 371  IBAN000000371
371   V372           Vendor 372  IBAN000000372
372   V373           Vendor 373  IBAN000000373
373   V374           Vendor 374  IBAN000000374
374   V375           Vendor 375  IBAN000000375
375   V376           Vendor 376  IBAN000000376
376   V377           Vendor 377  IBAN000000377
377   V378           Vendor 378  IBAN000000378
378   V379           Vendor 379  IBAN000000379
379   V380           Vendor 380  IBAN000000380
380   V381           Vendor 381  IBAN000000381
381   V382           Vendor 382  IBAN000000382
382   V383           Vendor 383  IBAN000000383
383   V384           Vendor 384  IBAN000000384
384   V385           Vendor 385  IBAN000000385
385   V386           Vendor 386  IBAN000000386
386   V387           Vendor 387  IBAN000000387
387   V388           Vendor 388  IBAN000000388
388   V389           Vendor 389  IBAN000000389
389   V390           Vendor 390  IBAN000000390
390   V391           Vendor 391  IBAN000000391
391   V392           Vendor 392  IBAN000000392
392   V393           Vendor 393  IBAN000000393
393   V394           Vendor 394  IBAN000000394
394   V395           Vendor 395  IBAN000000395
395   V396           Vendor 396  IBAN000000396
396   V397           Vendor 397  IBAN000000397
397   V398           Vendor 398  IBAN000000398
398   V399           Vendor 399  IBAN000000399
399   V400           Vendor 400  IBAN000000400
400   V401           Vendor 401  IBAN000000401
401   V402           Vendor 402  IBAN000000402
402   V403           Vendor 403  IBAN000000403
403   V404           Vendor 404  IBAN000000404
404   V405           Vendor 405  IBAN000000405
405   V406           Vendor 406  IBAN000000406
406   V407           Vendor 407  IBAN000000407
407   V408           Vendor 408  IBAN000000408
408   V409           Vendor 409  IBAN000000409
409   V410           Vendor 410  IBAN000000410
410   V411           Vendor 411  IBAN000000411
411   V412           Vendor 412  IBAN000000412
412   V413           Vendor 413  IBAN000000413
413   V414           Vendor 414  IBAN000000414
414   V415           Vendor 415  IBAN000000415
415   V416           Vendor 416  IBAN000000416
416   V417           Vendor 417  IBAN000000417
417   V418           Vendor 418  IBAN000000418
418   V419           Vendor 419  IBAN000000419
419   V420           Vendor 420  IBAN000000420
420   V421           Vendor 421  IBAN000000421
421   V422           Vendor 422  IBAN000000422
422   V423           Vendor 423  IBAN000000423
423   V424           Vendor 424  IBAN000000424
424   V425           Vendor 425  IBAN000000425
425   V426           Vendor 426  IBAN000000426
426   V427           Vendor 427  IBAN000000427
427   V428           Vendor 428  IBAN000000428
428   V429           Vendor 429  IBAN000000429
429   V430           Vendor 430  IBAN000000430
430   V431           Vendor 431  IBAN000000431
431   V432           Vendor 432  IBAN000000432
432   V433           Vendor 433  IBAN000000433
433   V434           Vendor 434  IBAN000000434
434   V435           Vendor 435  IBAN000000435
435   V436           Vendor 436  IBAN000000436
436   V437           Vendor 437  IBAN000000437
437   V438           Vendor 438  IBAN000000438
438   V439           Vendor 439  IBAN000000439
439   V440           Vendor 440  IBAN000000440
440   V441           Vendor 441  IBAN000000441
441   V442           Vendor 442  IBAN000000442
442   V443           Vendor 443  IBAN000000443
443   V444           Vendor 444  IBAN000000444
444   V445           Vendor 445  IBAN000000445
445   V446           Vendor 446  IBAN000000446
446   V447           Vendor 447  IBAN000000447
447   V448           Vendor 448  IBAN000000448
448   V449           Vendor 449  IBAN000000449
449   V450           Vendor 450  IBAN000000450
450   V451           Vendor 451  IBAN000000451
451   V452           Vendor 452  IBAN000000452
452   V453           Vendor 453  IBAN000000453
453   V454           Vendor 454  IBAN000000454
454   V455           Vendor 455  IBAN000000455
455   V456           Vendor 456  IBAN000000456
456   V457           Vendor 457  IBAN000000457
457   V458           Vendor 458  IBAN000000458
458   V459           Vendor 459  IBAN000000459
459   V460           Vendor 460  IBAN000000460
460   V461           Vendor 461  IBAN000000461
461   V462           Vendor 462  IBAN000000462
462   V463           Vendor 463  IBAN000000463
463   V464           Vendor 464  IBAN000000464
464   V465           Vendor 465  IBAN000000465
465   V466           Vendor 466  IBAN000000466
466   V467           Vendor 467  IBAN000000467
467   V468           Vendor 468  IBAN000000468
468   V469           Vendor 469  IBAN000000469
469   V470           Vendor 470  IBAN000000470
470   V471           Vendor 471  IBAN000000471
471   V472           Vendor 472  IBAN000000472
472   V473           Vendor 473  IBAN000000473
473   V474           Vendor 474  IBAN000000474
474   V475           Vendor 475  IBAN000000475
475   V476           Vendor 476  IBAN000000476
476   V477           Vendor 477  IBAN000000477
477   V478           Vendor 478  IBAN000000478
478   V479           Vendor 479  IBAN000000479
479   V480           Vendor 480  IBAN000000480
480   V481           Vendor 481  IBAN000000481
481   V482           Vendor 482  IBAN000000482
482   V483           Vendor 483  IBAN000000483
483   V484           Vendor 484  IBAN000000484
484   V485           Vendor 485  IBAN000000485
485   V486           Vendor 486  IBAN000000486
486   V487           Vendor 487  IBAN000000487
487   V488           Vendor 488  IBAN000000488
488   V489           Vendor 489  IBAN000000489
489   V490           Vendor 490  IBAN000000490
490   V491           Vendor 491  IBAN000000491
491   V492           Vendor 492  IBAN000000492
492   V493           Vendor 493  IBAN000000493
493   V494           Vendor 494  IBAN000000494
494   V495           Vendor 495  IBAN000000495
495   V496           Vendor 496  IBAN000000496
496   V497           Vendor 497  IBAN000000497
497   V498           Vendor 498  IBAN000000498
498   V499           Vendor 499  IBAN000000499
499   V500           Vendor 500  IBAN000000500
500  V_NF1      Safe Vendor Ltd    IBANSAFE001
501  V_NF2  Fuzzy Match Systems    IBANFUZZ002
502  V_NF3        Boundary Corp   IBANBOUND003
