New Terminal Output:
======================================================================
SEISMIC PHASE ASSOCIATION - TIME-BASED CLUSTERING
======================================================================

[1/3] Loading data...
  Loaded 45 traces and 129 station channels

[2/3] Extracting phase picks...
  Processing trace 1/45...
  Processing trace 6/45...
  Processing trace 11/45...
  Processing trace 16/45...
  Processing trace 21/45...
  Processing trace 26/45...
  Processing trace 31/45...
  Processing trace 36/45...
  Processing trace 41/45...
  Total picks: 9650
  P picks: 4825
  S picks: 4825

[3/3] Clustering picks into events...
    Event 68: 2019-07-04T19:25:21.753100+00:00 (14 picks)
    Event 69: 2019-07-04T19:25:48.658300+00:00 (86 picks)
    Event 70: 2019-07-04T19:25:54.218300+00:00 (50 picks)
    Event 71: 2019-07-04T19:26:25.568300+00:00 (106 picks)
    Event 72: 2019-07-04T19:26:29.468300+00:00 (78 picks)
    Event 73: 2019-07-04T19:27:05.653300+00:00 (140 picks)
    Event 74: 2019-07-04T19:27:25.880000+00:00 (202 picks)
    Event 75: 2019-07-04T19:27:44.878300+00:00 (32 picks)
    Event 76: 2019-07-04T19:27:51.039150+00:00 (20 picks)
    Event 77: 2019-07-04T19:28:31.415700+00:00 (32 picks)
    Event 78: 2019-07-04T19:28:42.688300+00:00 (18 picks)
    Event 79: 2019-07-04T19:28:58.528300+00:00 (10 picks)
    Event 80: 2019-07-04T19:29:23.063300+00:00 (56 picks)
    Event 81: 2019-07-04T19:29:36.113300+00:00 (52 picks)
    Event 82: 2019-07-04T19:30:13.998300+00:00 (24 picks)
    Event 83: 2019-07-04T19:30:38.418300+00:00 (10 picks)
    Event 84: 2019-07-04T19:30:54.323100+00:00 (6 picks)
    Event 85: 2019-07-04T19:31:10.248300+00:00 (36 picks)
    Event 86: 2019-07-04T19:31:37.670700+00:00 (8 picks)
    Event 87: 2019-07-04T19:32:00.255000+00:00 (72 picks)
    Event 88: 2019-07-04T19:32:16.588300+00:00 (30 picks)
    Event 89: 2019-07-04T19:32:34.358300+00:00 (130 picks)
    Event 90: 2019-07-04T19:33:05.388300+00:00 (36 picks)
    Event 91: 2019-07-04T19:33:10.668300+00:00 (122 picks)
    Event 92: 2019-07-04T19:33:29.038300+00:00 (60 picks)
    Event 93: 2019-07-04T19:33:48.518300+00:00 (20 picks)
    Event 94: 2019-07-04T19:34:16.088300+00:00 (154 picks)
    Event 95: 2019-07-04T19:34:29.273300+00:00 (32 picks)
    Event 96: 2019-07-04T19:35:06.778300+00:00 (76 picks)
    Event 97: 2019-07-04T19:35:13.328300+00:00 (58 picks)
    Event 98: 2019-07-04T19:35:48.083300+00:00 (52 picks)
    Event 99: 2019-07-04T19:36:12.258300+00:00 (32 picks)
    Event 100: 2019-07-04T19:36:18.573300+00:00 (64 picks)
    Event 101: 2019-07-04T19:36:43.413300+00:00 (56 picks)
    Event 102: 2019-07-04T19:37:02.818300+00:00 (34 picks)
    Event 103: 2019-07-04T19:37:19.238300+00:00 (26 picks)
    Event 104: 2019-07-04T19:37:39.068300+00:00 (24 picks)
    Event 105: 2019-07-04T19:38:09.028300+00:00 (6 picks)
    Event 106: 2019-07-04T19:38:29.948300+00:00 (104 picks)
    Event 107: 2019-07-04T19:38:43.633300+00:00 (8 picks)
    Event 108: 2019-07-04T19:39:05.178300+00:00 (40 picks)
    Event 109: 2019-07-04T19:39:43.933300+00:00 (116 picks)
    Event 110: 2019-07-04T19:39:57.878300+00:00 (122 picks)
    Event 111: 2019-07-04T19:40:15.360000+00:00 (28 picks)
    Event 112: 2019-07-04T19:40:37.960000+00:00 (74 picks)
    Event 113: 2019-07-04T19:41:03.943300+00:00 (8 picks)
    Event 114: 2019-07-04T19:41:20.828300+00:00 (24 picks)
    Event 115: 2019-07-04T19:41:55.958300+00:00 (30 picks)
    Event 116: 2019-07-04T19:42:02.638300+00:00 (108 picks)
    Event 117: 2019-07-04T19:42:19.328300+00:00 (14 picks)
    Event 118: 2019-07-04T19:42:43.768300+00:00 (58 picks)
    Event 119: 2019-07-04T19:43:04.428300+00:00 (34 picks)
    Event 120: 2019-07-04T19:43:07.115700+00:00 (8 picks)
    Event 121: 2019-07-04T19:43:34.708300+00:00 (42 picks)
    Event 122: 2019-07-04T19:43:43.403100+00:00 (14 picks)
    Event 123: 2019-07-04T19:44:03.138300+00:00 (18 picks)
    Event 124: 2019-07-04T19:44:49.008300+00:00 (110 picks)
    Event 125: 2019-07-04T19:44:57.298300+00:00 (16 picks)
    Event 126: 2019-07-04T19:45:18.468300+00:00 (68 picks)
    Event 127: 2019-07-04T19:45:53.878300+00:00 (4 picks)
    Event 128: 2019-07-04T19:46:13.303100+00:00 (50 picks)
    Event 129: 2019-07-04T19:46:33.743300+00:00 (8 picks)
    Event 130: 2019-07-04T19:46:52.493300+00:00 (132 picks)
    Event 131: 2019-07-04T19:47:18.929150+00:00 (4 picks)
    Event 132: 2019-07-04T19:47:53.063300+00:00 (56 picks)
    Event 133: 2019-07-04T19:47:58.949150+00:00 (92 picks)
    Event 134: 2019-07-04T19:48:33.138300+00:00 (10 picks)
    Event 135: 2019-07-04T19:48:48.648300+00:00 (76 picks)
    Event 136: 2019-07-04T19:49:12.659150+00:00 (188 picks)
    Event 137: 2019-07-04T19:49:44.878300+00:00 (8 picks)
    Event 138: 2019-07-04T19:49:53.023100+00:00 (2 picks)
    Event 139: 2019-07-04T19:50:31.040700+00:00 (4 picks)
    Event 140: 2019-07-04T19:50:48.768300+00:00 (38 picks)
    Event 141: 2019-07-04T19:51:22.488300+00:00 (160 picks)
    Event 142: 2019-07-04T19:51:28.560000+00:00 (54 picks)
    Event 143: 2019-07-04T19:51:41.248300+00:00 (2 picks)
    Event 144: 2019-07-04T19:52:20.883300+00:00 (196 picks)
    Event 145: 2019-07-04T19:52:47.078300+00:00 (138 picks)
    Event 146: 2019-07-04T19:53:00.278300+00:00 (2 picks)
    Event 147: 2019-07-04T19:53:26.368300+00:00 (182 picks)
    Event 148: 2019-07-04T19:53:51.760000+00:00 (158 picks)
    Event 149: 2019-07-04T19:54:24.893300+00:00 (132 picks)
    Event 150: 2019-07-04T19:54:51.098300+00:00 (18 picks)
    Event 151: 2019-07-04T19:55:05.473300+00:00 (44 picks)
    Event 152: 2019-07-04T19:55:18.293300+00:00 (12 picks)
    Event 153: 2019-07-04T19:55:55.708300+00:00 (50 picks)
    Event 154: 2019-07-04T19:56:06.658300+00:00 (178 picks)
    Event 155: 2019-07-04T19:56:14.258300+00:00 (34 picks)
    Event 156: 2019-07-04T19:56:36.648300+00:00 (6 picks)
    Event 157: 2019-07-04T19:57:03.608300+00:00 (18 picks)
    Event 158: 2019-07-04T19:57:09.638300+00:00 (6 picks)
    Event 159: 2019-07-04T19:57:29.488300+00:00 (100 picks)
    Event 160: 2019-07-04T19:58:02.568300+00:00 (26 picks)
    Event 161: 2019-07-04T19:58:07.423300+00:00 (152 picks)
    Event 162: 2019-07-04T19:58:24.395700+00:00 (4 picks)
    Event 163: 2019-07-04T19:58:51.248300+00:00 (110 picks)
    Event 164: 2019-07-04T19:59:00.283100+00:00 (66 picks)
    Event 165: 2019-07-04T19:59:17.298300+00:00 (10 picks)
    Event 166: 2019-07-04T19:59:51.078300+00:00 (154 picks)

Writing results to /root/results.csv...
  Wrote 167 events to /root/results.csv

  Results:
                           time
0    2019-07-04T19:00:02.500000
1    2019-07-04T19:00:20.028300
2    2019-07-04T19:01:05.530000
3    2019-07-04T19:01:18.868300
4    2019-07-04T19:01:36.153300
..                          ...
162  2019-07-04T19:58:24.395700
163  2019-07-04T19:58:51.248300
164  2019-07-04T19:59:00.283100
165  2019-07-04T19:59:17.298300
166  2019-07-04T19:59:51.078300

[167 rows x 1 columns]
